src_ip,dst_ip,communication_count
109.107.241.175,147.32.84.165,3
109.87.137.226,147.32.84.165,3
112.162.106.108,147.32.84.165,6
115.117.187.144,147.32.84.165,3
115.167.99.23,147.32.84.165,3
115.63.126.68,147.32.84.165,3
117.199.122.247,147.32.84.165,6
117.207.11.6,147.32.84.165,6
117.213.61.195,147.32.84.165,6
119.154.71.9,147.32.84.165,6
119.194.173.28,147.32.84.165,3
122.157.89.120,147.32.84.165,3
122.224.6.164,147.32.84.165,126
122.226.12.150,147.32.84.165,2
122.228.199.136,147.32.84.165,260
123.101.86.207,147.32.84.165,3
123.238.67.45,147.32.84.165,3
124.11.68.74,147.32.84.165,6
125.166.97.131,147.32.84.165,7
14.97.21.87,147.32.84.165,6
14.97.27.137,147.32.84.165,6
147.32.80.9,147.32.84.165,15132
147.32.84.165,10.10.10.10,2
147.32.84.165,108.35.117.52,2
147.32.84.165,109.0.19.190,2
147.32.84.165,109.104.178.89,10
147.32.84.165,109.107.241.175,6
147.32.84.165,109.204.82.140,2
147.32.84.165,109.207.207.222,6
147.32.84.165,109.234.115.119,10
147.32.84.165,109.239.46.232,4
147.32.84.165,109.251.8.6,6
147.32.84.165,109.71.40.4,2
147.32.84.165,109.87.137.226,6
147.32.84.165,111.88.18.129,22
147.32.84.165,111.88.3.207,4
147.32.84.165,111.88.41.233,4
147.32.84.165,111.94.60.66,2
147.32.84.165,112.162.106.108,12
147.32.84.165,112.202.77.25,4
147.32.84.165,112.205.182.117,8
147.32.84.165,113.168.165.133,16
147.32.84.165,113.193.251.225,4
147.32.84.165,113.20.9.185,2
147.32.84.165,113.20.9.65,2
147.32.84.165,113.29.254.6,2
147.32.84.165,113.36.206.49,6
147.32.84.165,114.108.154.229,2
147.32.84.165,114.108.161.130,2
147.32.84.165,114.134.80.211,2
147.32.84.165,115.117.187.144,6
147.32.84.165,115.167.99.23,6
147.32.84.165,115.178.24.226,8
147.32.84.165,115.23.150.245,14
147.32.84.165,115.63.126.68,6
147.32.84.165,116.212.193.20,2
147.32.84.165,116.224.181.80,2
147.32.84.165,116.228.139.242,6
147.32.84.165,116.72.72.149,10
147.32.84.165,117.120.50.84,2
147.32.84.165,117.196.144.102,16
147.32.84.165,117.196.235.122,8
147.32.84.165,117.198.215.4,4
147.32.84.165,117.199.116.59,6
147.32.84.165,117.199.122.247,12
147.32.84.165,117.199.149.157,6
147.32.84.165,117.202.118.60,8
147.32.84.165,117.204.67.233,10
147.32.84.165,117.205.2.136,4
147.32.84.165,117.207.11.6,18
147.32.84.165,117.213.61.195,12
147.32.84.165,117.225.17.113,8
147.32.84.165,117.53.114.15,8
147.32.84.165,118.38.250.186,16
147.32.84.165,118.98.160.130,6
147.32.84.165,119.127.127.126,2
147.32.84.165,119.144.5.66,6
147.32.84.165,119.154.116.203,4
147.32.84.165,119.154.122.246,8
147.32.84.165,119.154.61.167,4
147.32.84.165,119.154.71.9,12
147.32.84.165,119.194.173.28,6
147.32.84.165,119.205.212.219,4
147.32.84.165,119.252.147.10,6
147.32.84.165,12.1.219.230,2
147.32.84.165,12.1.237.105,2
147.32.84.165,12.102.252.75,72
147.32.84.165,12.131.237.150,2
147.32.84.165,12.139.171.131,2
147.32.84.165,12.148.227.38,2
147.32.84.165,12.15.146.28,68
147.32.84.165,12.154.55.40,2
147.32.84.165,12.166.220.8,2
147.32.84.165,12.168.24.160,2
147.32.84.165,12.168.24.161,2
147.32.84.165,12.178.24.3,2
147.32.84.165,12.180.191.234,4
147.32.84.165,12.193.46.141,2
147.32.84.165,12.203.201.8,2
147.32.84.165,12.230.202.164,2
147.32.84.165,12.233.228.10,2
147.32.84.165,12.237.117.38,2
147.32.84.165,12.28.202.130,2
147.32.84.165,12.32.40.13,2
147.32.84.165,12.32.90.135,2
147.32.84.165,12.35.203.162,2
147.32.84.165,12.40.151.136,2
147.32.84.165,12.69.160.12,6
147.32.84.165,12.69.160.13,6
147.32.84.165,12.97.163.208,2
147.32.84.165,120.29.3.5,2
147.32.84.165,121.1.15.40,8
147.32.84.165,121.1.35.116,6
147.32.84.165,121.119.178.222,2
147.32.84.165,121.127.198.219,2
147.32.84.165,121.14.105.6,4
147.32.84.165,121.179.202.148,6
147.32.84.165,121.18.126.152,8
147.32.84.165,121.18.126.159,4
147.32.84.165,121.31.253.12,6
147.32.84.165,122.146.207.130,12
147.32.84.165,122.155.7.8,6
147.32.84.165,122.157.89.120,8
147.32.84.165,122.224.6.164,266
