timestamp,packet_size_sum,packet_count
2011-08-18 08:47:30,220,2
2011-08-18 08:47:31,891,9
2011-08-18 08:47:32,404,4
2011-08-18 08:47:33,2592,18
2011-08-18 08:47:34,220,2
2011-08-18 08:47:35,440,4
2011-08-18 08:47:36,955,7
2011-08-18 08:47:37,220,2
2011-08-18 08:47:38,440,4
2011-08-18 08:47:39,666,4
2011-08-18 08:47:40,220,2
2011-08-18 08:47:41,220,2
2011-08-18 08:47:42,440,4
2011-08-18 08:47:43,926,4
2011-08-18 08:47:49,350,2
2011-08-18 08:47:52,350,2
2011-08-18 08:47:55,350,2
2011-08-18 08:49:56,846,5
2011-08-18 08:49:57,184,2
2011-08-18 08:49:58,5282,38
2011-08-18 08:50:19,486,2
2011-08-18 08:52:20,486,2
2011-08-18 08:53:32,486,2
2011-08-18 09:01:34,486,2
2011-08-18 09:04:11,451,5
2011-08-18 09:04:12,184,2
2011-08-18 09:04:13,368,4
2011-08-18 09:04:14,184,2
2011-08-18 09:04:15,184,2
2011-08-18 09:04:16,2604,14
2011-08-18 09:05:16,120,2
2011-08-18 09:06:20,24229,245
2011-08-18 09:06:23,130,1
2011-08-18 09:06:24,1017,5
2011-08-18 09:06:46,236,3
2011-08-18 09:07:05,117,1
2011-08-18 09:07:06,120,2
2011-08-18 09:07:29,237,3
2011-08-18 09:07:59,637,5
2011-08-18 09:08:00,1708,12
2011-08-18 09:08:01,120,2
2011-08-18 09:08:17,119,1
2011-08-18 09:08:18,900,4
2011-08-18 09:08:19,4217,14
2011-08-18 09:08:32,2511,13
2011-08-18 09:08:33,120,2
2011-08-18 09:09:33,486,2
2011-08-18 09:10:30,464,2
2011-08-18 09:10:34,309,4
2011-08-18 09:12:13,194,3
2011-08-18 09:12:43,194,3
2011-08-18 09:12:46,194,3
2011-08-18 09:12:58,309,4
2011-08-18 09:13:07,194,3
2011-08-18 09:13:09,194,3
2011-08-18 09:13:42,194,3
2011-08-18 09:13:46,194,3
2011-08-18 09:13:49,194,3
2011-08-18 09:13:51,194,3
2011-08-18 09:13:52,194,3
2011-08-18 09:13:57,194,3
2011-08-18 09:14:50,194,3
2011-08-18 09:14:51,194,3
2011-08-18 09:15:22,309,4
2011-08-18 09:17:46,309,4
2011-08-18 09:20:10,309,4
2011-08-18 09:21:31,486,2
2011-08-18 09:22:00,5098,36
2011-08-18 09:22:34,309,4
2011-08-18 09:24:58,309,4
2011-08-18 09:27:22,309,4
2011-08-18 09:28:35,194,3
2011-08-18 09:28:40,194,3
2011-08-18 09:28:54,194,3
2011-08-18 09:28:55,194,3
2011-08-18 09:29:08,194,3
2011-08-18 09:29:21,194,3
2011-08-18 09:29:46,309,4
2011-08-18 09:30:53,464,2
2011-08-18 09:31:45,194,3
2011-08-18 09:31:47,194,3
2011-08-18 09:31:51,194,3
2011-08-18 09:31:53,194,3
2011-08-18 09:31:56,194,3
2011-08-18 09:31:58,194,3
2011-08-18 09:32:01,194,3
2011-08-18 09:32:03,194,3
2011-08-18 09:32:05,194,3
2011-08-18 09:32:10,309,4
2011-08-18 09:33:32,486,2
2011-08-18 09:34:34,309,4
2011-08-18 09:36:09,194,3
2011-08-18 09:36:11,194,3
2011-08-18 09:36:50,194,3
2011-08-18 09:36:58,309,4
2011-08-18 09:37:07,194,3
2011-08-18 09:37:11,194,3
2011-08-18 09:38:29,194,3
2011-08-18 09:38:50,194,3
2011-08-18 09:38:51,194,3
2011-08-18 09:38:53,194,3
2011-08-18 09:38:54,194,3
2011-08-18 09:38:55,194,3
2011-08-18 09:39:22,309,4
2011-08-18 09:41:46,309,4
2011-08-18 09:42:22,154,2
2011-08-18 09:42:23,85,1
2011-08-18 09:42:24,85,1
2011-08-18 09:42:25,85,1
2011-08-18 09:44:10,309,4
2011-08-18 09:45:31,486,2
2011-08-18 09:45:42,194,3
2011-08-18 09:46:34,309,4
2011-08-18 09:48:58,309,4
2011-08-18 09:51:22,309,4
2011-08-18 09:53:06,159154,113
2011-08-18 09:53:07,303590,206
2011-08-18 09:53:08,302800,200
2011-08-18 09:53:09,299772,198
2011-08-18 09:53:10,302800,200
2011-08-18 09:53:11,302800,200
2011-08-18 09:53:12,302800,200
2011-08-18 09:53:13,302800,200
2011-08-18 09:53:14,302800,200
2011-08-18 09:53:15,302800,200
2011-08-18 09:53:16,298258,197
2011-08-18 09:53:17,302800,200
2011-08-18 09:53:18,302800,200
2011-08-18 09:53:19,302800,200
2011-08-18 09:53:20,302800,200
2011-08-18 09:53:21,302800,200
2011-08-18 09:53:22,302800,200
2011-08-18 09:53:23,299772,198
2011-08-18 09:53:24,302800,200
2011-08-18 09:53:25,302800,200
2011-08-18 09:53:26,302800,200
2011-08-18 09:53:27,302800,200
2011-08-18 09:53:28,302800,200
2011-08-18 09:53:29,302800,200
2011-08-18 09:53:30,299772,198
2011-08-18 09:53:31,302800,200
2011-08-18 09:53:32,302800,200
2011-08-18 09:53:33,302800,200
2011-08-18 09:53:34,302800,200
2011-08-18 09:53:35,302800,200
2011-08-18 09:53:36,302800,200
2011-08-18 09:53:37,299772,198
2011-08-18 09:53:38,302800,200
2011-08-18 09:53:39,301286,199
2011-08-18 09:53:40,302800,200
2011-08-18 09:53:41,302800,200
2011-08-18 09:53:42,302800,200
2011-08-18 09:53:43,187736,124
2011-08-18 09:53:44,299772,198
2011-08-18 09:53:45,302800,200
2011-08-18 09:53:46,302800,200
2011-08-18 09:53:47,302800,200
2011-08-18 09:53:48,299772,198
2011-08-18 09:53:49,302800,200
2011-08-18 09:53:50,302800,200
2011-08-18 09:53:51,299772,198
2011-08-18 09:53:52,302800,200
2011-08-18 09:53:53,302800,200
2011-08-18 09:53:54,302800,200
2011-08-18 09:53:55,302800,200
2011-08-18 09:53:56,302800,200
2011-08-18 09:53:57,302800,200
2011-08-18 09:53:58,299772,198
2011-08-18 09:53:59,302800,200
2011-08-18 09:54:00,307898,236
2011-08-18 09:54:01,302800,200
2011-08-18 09:54:02,302800,200
2011-08-18 09:54:03,302800,200
2011-08-18 09:54:04,302800,200
2011-08-18 09:54:05,299772,198
2011-08-18 09:54:06,302800,200
2011-08-18 09:54:07,302800,200
2011-08-18 09:54:08,302800,200
2011-08-18 09:54:09,302800,200
2011-08-18 09:54:10,302800,200
2011-08-18 09:54:11,302800,200
2011-08-18 09:54:12,299772,198
2011-08-18 09:54:13,290688,192
2011-08-18 09:54:14,302800,200
2011-08-18 09:54:15,302800,200
2011-08-18 09:54:16,302800,200
2011-08-18 09:54:17,302800,200
2011-08-18 09:54:18,302800,200
2011-08-18 09:54:19,299772,198
2011-08-18 09:54:20,302800,200
2011-08-18 09:54:21,302800,200
2011-08-18 09:54:22,302800,200
2011-08-18 09:54:23,302800,200
2011-08-18 09:54:24,302800,200
2011-08-18 09:54:25,302800,200
2011-08-18 09:54:26,299772,198
2011-08-18 09:54:27,302800,200
2011-08-18 09:54:28,302800,200
2011-08-18 09:54:29,302800,200
2011-08-18 09:54:30,302800,200
2011-08-18 09:54:31,302800,200
2011-08-18 09:54:32,302800,200
2011-08-18 09:54:33,299772,198
2011-08-18 09:54:34,302800,200
2011-08-18 09:54:35,302800,200
2011-08-18 09:54:36,302800,200
2011-08-18 09:54:37,302800,200
2011-08-18 09:54:38,302800,200
2011-08-18 09:54:39,302800,200
2011-08-18 09:54:40,299772,198
2011-08-18 09:54:41,302800,200
2011-08-18 09:54:42,302800,200
2011-08-18 09:54:43,302800,200
2011-08-18 09:54:44,302800,200
2011-08-18 09:54:45,302800,200
2011-08-18 09:54:46,299772,198
2011-08-18 09:54:47,302800,200
2011-08-18 09:54:48,302800,200
2011-08-18 09:54:49,302800,200
2011-08-18 09:54:50,302800,200
2011-08-18 09:54:51,302800,200
2011-08-18 09:54:52,302800,200
2011-08-18 09:54:53,299772,198
2011-08-18 09:54:54,302800,200
2011-08-18 09:54:55,302800,200
2011-08-18 09:54:56,302800,200
2011-08-18 09:54:57,302800,200
2011-08-18 09:54:58,302800,200
2011-08-18 09:54:59,302800,200
2011-08-18 09:55:00,299772,198
2011-08-18 09:55:01,302800,200
2011-08-18 09:55:02,302800,200
2011-08-18 09:55:03,302800,200
2011-08-18 09:55:04,302800,200
2011-08-18 09:55:05,287660,190
2011-08-18 09:55:06,302800,200
2011-08-18 09:55:07,299772,198
2011-08-18 09:55:08,302800,200
2011-08-18 09:55:09,302800,200
2011-08-18 09:55:10,302800,200
2011-08-18 09:55:11,302800,200
2011-08-18 09:55:12,302800,200
2011-08-18 09:55:13,302800,200
2011-08-18 09:55:14,302800,200
2011-08-18 09:55:15,299772,198
2011-08-18 09:55:16,302800,200
2011-08-18 09:55:17,302800,200
2011-08-18 09:55:18,302800,200
2011-08-18 09:55:19,302800,200
2011-08-18 09:55:20,302800,200
2011-08-18 09:55:21,299772,198
2011-08-18 09:55:22,303109,204
2011-08-18 09:55:23,302800,200
2011-08-18 09:55:24,299772,198
2011-08-18 09:55:25,302800,200
2011-08-18 09:55:26,302800,200
2011-08-18 09:55:27,302800,200
2011-08-18 09:55:28,299772,198
2011-08-18 09:55:29,302800,200
2011-08-18 09:55:30,302800,200
2011-08-18 09:55:31,302800,200
2011-08-18 09:55:32,302800,200
2011-08-18 09:55:33,302800,200
2011-08-18 09:55:34,302800,200
2011-08-18 09:55:35,299772,198
2011-08-18 09:55:36,302800,200
2011-08-18 09:55:37,302800,200
2011-08-18 09:55:38,302800,200
2011-08-18 09:55:39,302800,200
2011-08-18 09:55:40,302800,200
2011-08-18 09:55:41,302800,200
2011-08-18 09:55:42,299772,198
2011-08-18 09:55:43,302800,200
2011-08-18 09:55:44,302800,200
2011-08-18 09:55:45,302800,200
2011-08-18 09:55:46,302800,200
2011-08-18 09:55:47,302800,200
2011-08-18 09:55:48,302800,200
2011-08-18 09:55:49,299772,198
2011-08-18 09:55:50,302800,200
2011-08-18 09:55:51,293716,194
2011-08-18 09:55:52,302800,200
2011-08-18 09:55:53,302800,200
2011-08-18 09:55:54,302800,200
2011-08-18 09:55:55,302800,200
2011-08-18 09:55:56,296744,196
2011-08-18 09:55:57,302800,200
2011-08-18 09:55:58,302800,200
2011-08-18 09:55:59,302800,200
2011-08-18 09:56:00,302800,200
2011-08-18 09:56:01,302800,200
2011-08-18 09:56:02,302800,200
2011-08-18 09:56:03,299772,198
2011-08-18 09:56:04,302800,200
2011-08-18 09:56:05,302800,200
2011-08-18 09:56:06,302800,200
2011-08-18 09:56:07,302800,200
2011-08-18 09:56:08,302800,200
2011-08-18 09:56:09,302800,200
2011-08-18 09:56:10,299772,198
2011-08-18 09:56:11,302800,200
2011-08-18 09:56:12,302800,200
2011-08-18 09:56:13,302800,200
2011-08-18 09:56:14,302800,200
2011-08-18 09:56:15,302800,200
2011-08-18 09:56:16,302800,200
2011-08-18 09:56:17,272520,180
2011-08-18 09:56:18,302800,200
