timestamp,packet_size_sum,packet_count
2011-08-17 12:24:30,12778,19
2011-08-17 12:24:31,13690,24
2011-08-17 12:24:33,398,5
2011-08-17 12:24:34,41757,67
2011-08-17 12:24:36,162,2
2011-08-17 12:24:37,9029,25
2011-08-17 12:24:38,6586,24
2011-08-17 12:24:39,33976,57
2011-08-17 12:24:40,8840,20
2011-08-17 12:24:41,24557,49
2011-08-17 12:24:42,85952,98
2011-08-17 12:24:43,18659,34
2011-08-17 12:24:44,148,2
2011-08-17 12:24:45,1662,3
2011-08-17 12:24:46,8820,24
2011-08-17 12:24:47,608,8
2011-08-17 12:24:48,2035,15
2011-08-17 12:24:49,142,2
2011-08-17 12:24:50,3403,22
2011-08-17 12:24:51,935,12
2011-08-17 12:24:52,6740,34
2011-08-17 12:24:53,32281,46
2011-08-17 12:24:54,14110,37
2011-08-17 12:24:55,1484,24
2011-08-17 12:24:58,1364,22
2011-08-17 12:25:04,1364,22
2011-08-17 12:25:22,13703,69
2011-08-17 12:25:23,116582,146
2011-08-17 12:25:25,1360,22
2011-08-17 12:25:26,120,2
2011-08-17 12:25:28,180,3
2011-08-17 12:25:31,1240,20
2011-08-17 12:25:43,2624,27
2011-08-17 12:25:44,785,10
2011-08-17 12:25:46,1240,20
2011-08-17 12:25:47,1706,14
2011-08-17 12:25:48,8628,19
2011-08-17 12:25:49,31044,44
2011-08-17 12:25:50,3392,8
2011-08-17 12:25:51,120,2
2011-08-17 12:25:52,4264,22
2011-08-17 12:25:56,1758,5
2011-08-17 12:25:57,1634,3
2011-08-17 12:26:01,1634,3
2011-08-17 12:26:02,1514,1
2011-08-17 12:26:03,120,2
2011-08-17 12:26:04,4126,28
2011-08-17 12:26:05,2419,13
2011-08-17 12:26:06,1514,1
2011-08-17 12:26:07,1236,20
2011-08-17 12:26:08,124,2
2011-08-17 12:26:09,1749,10
2011-08-17 12:26:11,1634,3
2011-08-17 12:26:13,360,6
2011-08-17 12:26:17,1754,5
2011-08-17 12:26:18,180,3
2011-08-17 12:26:22,5179,45
2011-08-17 12:26:23,19080,40
2011-08-17 12:26:24,114898,175
2011-08-17 12:26:25,372,6
2011-08-17 12:26:26,530,7
2011-08-17 12:26:27,120,2
2011-08-17 12:26:28,124,2
2011-08-17 12:26:29,1534,10
2011-08-17 12:26:30,884,10
2011-08-17 12:26:31,738,9
2011-08-17 12:26:32,1822,15
2011-08-17 12:26:34,164,2
2011-08-17 12:26:35,248,4
2011-08-17 12:26:38,288,4
2011-08-17 12:26:40,1356,7
2011-08-17 12:26:41,844,10
2011-08-17 12:26:42,164,2
2011-08-17 12:26:43,36692,45
2011-08-17 12:26:44,81432,113
2011-08-17 12:26:45,184,3
2011-08-17 12:26:46,348,5
2011-08-17 12:26:47,308,5
2011-08-17 12:26:50,288,4
2011-08-17 12:26:53,248,4
2011-08-17 12:26:54,164,2
2011-08-17 12:26:59,164,2
2011-08-17 12:27:00,184,3
2011-08-17 12:27:01,124,2
2011-08-17 12:27:02,184,3
2011-08-17 12:27:03,224,3
2011-08-17 12:27:05,124,2
2011-08-17 12:27:06,124,2
2011-08-17 12:27:07,348,5
2011-08-17 12:27:08,124,2
2011-08-17 12:27:09,184,3
2011-08-17 12:27:11,224,3
2011-08-17 12:27:14,492,8
2011-08-17 12:27:15,348,5
2011-08-17 12:27:18,368,6
2011-08-17 12:27:19,348,5
2011-08-17 12:27:22,124,2
2011-08-17 12:27:23,1364,12
2011-08-17 12:27:24,922,11
2011-08-17 12:27:25,60,1
2011-08-17 12:27:26,124,2
2011-08-17 12:27:27,288,4
2011-08-17 12:27:29,124,2
2011-08-17 12:27:30,124,2
2011-08-17 12:27:31,21682,45
2011-08-17 12:27:35,288,4
2011-08-17 12:27:37,124,2
2011-08-17 12:27:38,726,12
2011-08-17 12:27:39,164,2
2011-08-17 12:27:40,124,2
2011-08-17 12:27:42,464,2
2011-08-17 12:27:43,164,2
2011-08-17 12:27:47,412,6
2011-08-17 12:27:50,248,4
2011-08-17 12:27:51,164,2
2011-08-17 12:27:55,164,2
2011-08-17 12:27:56,124,2
2011-08-17 12:27:57,124,2
2011-08-17 12:27:59,164,2
2011-08-17 12:28:00,124,2
2011-08-17 12:28:03,164,2
2011-08-17 12:28:07,348,5
2011-08-17 12:28:08,432,7
2011-08-17 12:28:09,60,1
2011-08-17 12:28:11,288,4
2011-08-17 12:28:12,124,2
2011-08-17 12:28:15,288,4
2011-08-17 12:28:17,124,2
2011-08-17 12:28:19,164,2
2011-08-17 12:28:22,124,2
2011-08-17 12:28:23,164,2
2011-08-17 12:28:24,60,1
2011-08-17 12:28:25,124,2
2011-08-17 12:28:27,164,2
2011-08-17 12:28:31,164,2
2011-08-17 12:28:32,1078,8
2011-08-17 12:28:33,676,7
2011-08-17 12:28:35,164,2
2011-08-17 12:28:36,124,2
2011-08-17 12:28:39,288,4
2011-08-17 12:28:43,164,2
2011-08-17 12:28:44,250,4
2011-08-17 12:28:46,124,2
2011-08-17 12:28:47,886,13
2011-08-17 12:28:49,124,2
2011-08-17 12:28:50,604,9
2011-08-17 12:28:51,1006,15
2011-08-17 12:28:54,722,11
2011-08-17 12:28:55,164,2
2011-08-17 12:28:56,494,8
2011-08-17 12:28:57,906,14
2011-08-17 12:28:58,250,4
2011-08-17 12:28:59,164,2
2011-08-17 12:29:00,308,5
2011-08-17 12:29:01,494,8
2011-08-17 12:29:02,1582,7
2011-08-17 12:29:03,164,2
2011-08-17 12:29:04,124,2
2011-08-17 12:29:05,1212,10
2011-08-17 12:29:06,1234,15
2011-08-17 12:29:07,886,13
2011-08-17 12:29:08,3403,22
2011-08-17 12:29:09,2034,18
2011-08-17 12:29:10,538,8
2011-08-17 12:29:11,164,2
2011-08-17 12:29:14,304,5
2011-08-17 12:29:15,13914,44
2011-08-17 12:29:16,12592,39
2011-08-17 12:29:17,39800,68
2011-08-17 12:29:18,375334,528
2011-08-17 12:29:19,313737,453
2011-08-17 12:29:20,196882,288
2011-08-17 12:29:21,11568,38
2011-08-17 12:29:23,164,2
2011-08-17 12:29:24,248,4
2011-08-17 12:29:25,244,4
2011-08-17 12:29:26,184,3
2011-08-17 12:29:27,164,2
2011-08-17 12:29:29,124,2
