timestamp,packet_size_sum,packet_count
2011-08-15 15:17:05,350,2
2011-08-15 15:17:08,350,2
2011-08-15 15:18:56,421,5
2011-08-15 15:18:58,124,2
2011-08-15 15:19:04,124,2
2011-08-15 15:19:09,846,5
2011-08-15 15:19:10,184,2
2011-08-15 15:19:11,184,2
2011-08-15 15:19:12,5098,36
2011-08-15 15:19:46,1059,14
2011-08-15 15:19:47,568,4
2011-08-15 15:19:48,363,3
2011-08-15 15:19:49,368,4
2011-08-15 15:19:50,184,2
2011-08-15 15:19:51,5671,17
2011-08-15 15:19:52,23114,29
2011-08-15 15:19:58,156,2
2011-08-15 15:19:59,263,3
2011-08-15 15:20:02,124,2
2011-08-15 15:20:08,124,2
2011-08-15 15:20:22,858,10
2011-08-15 15:20:23,41261,61
2011-08-15 15:20:24,437,6
2011-08-15 15:20:25,10420,24
2011-08-15 15:20:26,27774,45
2011-08-15 15:20:27,4519,12
2011-08-15 15:20:28,2494,21
2011-08-15 15:20:39,5835,26
2011-08-15 15:20:40,92958,113
2011-08-15 15:20:41,28324,39
2011-08-15 15:20:42,6458,9
2011-08-15 15:20:44,1604,26
2011-08-15 15:20:46,180,3
2011-08-15 15:20:47,1364,22
2011-08-15 15:20:53,1364,22
2011-08-15 15:21:10,3249,34
2011-08-15 15:21:11,60,1
2011-08-15 15:21:12,334,3
2011-08-15 15:21:13,1240,20
2011-08-15 15:21:19,1240,20
2011-08-15 15:21:23,250,4
2011-08-15 15:21:31,5127,50
2011-08-15 15:21:34,1240,20
2011-08-15 15:21:36,486,2
2011-08-15 15:21:40,1240,20
2011-08-15 15:21:44,184,2
2011-08-15 15:21:45,184,2
2011-08-15 15:21:46,184,2
2011-08-15 15:21:47,599,3
2011-08-15 15:21:55,6895,29
2011-08-15 15:21:56,66690,86
2011-08-15 15:21:57,34347,44
2011-08-15 15:21:58,1152,11
2011-08-15 15:21:59,151866,205
2011-08-15 15:22:00,120447,186
2011-08-15 15:22:01,17292,128
2011-08-15 15:22:02,3875,37
2011-08-15 15:22:03,491,3
2011-08-15 15:22:04,744,12
2011-08-15 15:22:05,620,10
2011-08-15 15:22:10,620,10
2011-08-15 15:22:11,620,10
2011-08-15 15:22:13,124,2
2011-08-15 15:22:16,1602,11
2011-08-15 15:22:17,721,8
2011-08-15 15:22:19,124,2
2011-08-15 15:22:22,124,2
2011-08-15 15:22:25,124,2
2011-08-15 15:22:28,868,14
2011-08-15 15:22:29,556,9
2011-08-15 15:22:30,184,3
2011-08-15 15:22:31,804,13
2011-08-15 15:22:32,124,2
2011-08-15 15:22:34,124,2
2011-08-15 15:22:37,248,4
2011-08-15 15:22:40,124,2
2011-08-15 15:22:43,2660,33
2011-08-15 15:22:44,1984,19
2011-08-15 15:22:46,5162,47
2011-08-15 15:22:47,27593,177
2011-08-15 15:22:52,430,7
2011-08-15 15:22:53,240,4
2011-08-15 15:22:55,248,4
2011-08-15 15:22:58,2420,31
2011-08-15 15:22:59,1108,14
2011-08-15 15:23:01,1104,18
2011-08-15 15:23:02,372,6
2011-08-15 15:23:04,124,2
2011-08-15 15:23:13,1455,20
2011-08-15 15:23:14,1143,16
2011-08-15 15:23:15,184,3
2011-08-15 15:23:16,804,13
2011-08-15 15:23:17,2466,24
2011-08-15 15:23:22,248,4
2011-08-15 15:23:23,248,4
2011-08-15 15:23:24,922,7
