timestamp,packet_size_sum,packet_count
2011-08-18 13:47:50,220,2
2011-08-18 13:47:51,220,2
2011-08-18 13:47:52,671,7
2011-08-18 13:47:53,624,6
2011-08-18 13:47:54,2341,15
2011-08-18 13:47:55,471,5
2011-08-18 13:47:56,220,2
2011-08-18 13:47:57,1175,9
2011-08-18 13:47:58,220,2
2011-08-18 13:47:59,220,2
2011-08-18 13:48:00,666,4
2011-08-18 13:48:01,440,4
2011-08-18 13:48:02,220,2
2011-08-18 13:48:03,220,2
2011-08-18 13:48:04,926,4
2011-08-18 13:48:09,350,2
2011-08-18 13:48:12,350,2
2011-08-18 13:48:15,350,2
2011-08-18 13:49:05,2593,29
2011-08-18 13:49:06,22012,223
2011-08-18 13:49:09,246,3
2011-08-18 13:49:10,806,3
2011-08-18 13:49:23,237,3
2011-08-18 13:50:04,637,5
2011-08-18 13:50:05,421,5
2011-08-18 13:50:06,486,2
2011-08-18 13:50:17,1030,7
2011-08-18 13:50:18,184,2
2011-08-18 13:50:19,5098,36
2011-08-18 13:50:42,516,4
2011-08-18 13:52:08,486,2
2011-08-18 13:52:23,154,2
2011-08-18 13:52:24,85,1
2011-08-18 13:52:25,85,1
2011-08-18 13:52:26,85,1
2011-08-18 13:52:54,297,4
2011-08-18 13:53:09,439,4
2011-08-18 13:54:50,380,3
