src_ip,dst_ip,communication_count
109.200.239.148,147.32.84.165,3
117.204.76.152,147.32.84.165,3
120.63.27.163,147.32.84.165,3
147.32.80.9,147.32.84.165,46
147.32.84.165,1.22.16.143,6
147.32.84.165,109.200.239.148,12
147.32.84.165,109.201.233.98,4
147.32.84.165,111.88.31.68,4
147.32.84.165,111.92.129.242,4
147.32.84.165,112.110.18.151,8
147.32.84.165,112.205.111.114,6
147.32.84.165,112.205.182.117,6
147.32.84.165,113.36.206.49,4
147.32.84.165,114.59.51.188,4
147.32.84.165,115.97.135.112,6
147.32.84.165,115.98.215.108,6
147.32.84.165,116.228.139.242,4
147.32.84.165,116.73.89.104,4
147.32.84.165,117.197.22.127,6
147.32.84.165,117.199.114.136,6
147.32.84.165,117.204.64.132,6
147.32.84.165,117.204.67.233,4
147.32.84.165,117.204.74.3,4
147.32.84.165,117.204.76.152,6
147.32.84.165,117.207.7.56,6
147.32.84.165,117.242.61.2,4
147.32.84.165,117.96.96.152,6
147.32.84.165,118.34.142.43,4
147.32.84.165,119.154.117.193,6
147.32.84.165,119.154.54.142,4
147.32.84.165,120.63.27.163,6
147.32.84.165,124.125.21.140,10
147.32.84.165,125.99.28.64,6
147.32.84.165,133.6.157.199,10
147.32.84.165,147.32.80.9,92
147.32.84.165,147.32.84.171,22
147.32.84.165,147.32.84.255,76
147.32.84.165,163.21.59.10,4
147.32.84.165,178.123.248.251,4
147.32.84.165,178.133.119.252,6
147.32.84.165,178.137.128.94,4
147.32.84.165,178.150.146.54,4
147.32.84.165,178.90.6.143,4
147.32.84.165,180.222.136.3,4
147.32.84.165,180.251.135.144,4
147.32.84.165,182.177.235.90,6
147.32.84.165,182.2.117.2,4
147.32.84.165,182.72.80.42,4
147.32.84.165,183.83.68.80,4
147.32.84.165,184.106.213.57,20
147.32.84.165,184.164.142.139,4
147.32.84.165,188.230.64.18,6
147.32.84.165,190.151.53.33,6
147.32.84.165,190.204.173.239,4
147.32.84.165,190.77.235.75,8
147.32.84.165,192.58.128.30,2
147.32.84.165,194.67.211.76,4
147.32.84.165,195.113.232.73,14
147.32.84.165,195.88.191.59,316
147.32.84.165,196.2.13.199,4
147.32.84.165,196.205.12.237,4
147.32.84.165,196.46.196.3,4
147.32.84.165,198.32.64.12,6
147.32.84.165,199.255.211.81,4
147.32.84.165,200.206.215.4,4
147.32.84.165,200.29.244.194,4
147.32.84.165,202.12.27.33,4
147.32.84.165,202.164.57.158,4
147.32.84.165,202.80.173.5,4
147.32.84.165,203.84.189.77,4
147.32.84.165,204.127.217.16,6
147.32.84.165,205.188.186.137,496
147.32.84.165,205.188.186.167,96
147.32.84.165,208.84.201.167,10
147.32.84.165,209.236.119.101,4
147.32.84.165,209.85.148.105,892
147.32.84.165,209.85.148.147,1996
147.32.84.165,210.211.186.109,4
147.32.84.165,210.211.186.4,4
147.32.84.165,210.212.164.162,6
147.32.84.165,211.140.47.197,6
147.32.84.165,212.117.171.138,17104
147.32.84.165,216.157.130.15,18
147.32.84.165,217.34.4.225,10
147.32.84.165,218.241.209.6,4
147.32.84.165,218.248.255.243,8
147.32.84.165,218.93.203.210,4
147.32.84.165,220.143.177.200,4
147.32.84.165,221.130.69.202,12
