src_ip,dst_ip,communication_count
123.126.51.33,147.32.84.165,365
123.126.51.57,147.32.84.165,2
123.126.51.64,147.32.84.165,4
123.126.51.65,147.32.84.165,12
147.32.80.9,147.32.84.165,19
147.32.84.165,118.228.148.32,4
147.32.84.165,123.126.51.33,952
147.32.84.165,123.126.51.57,10
147.32.84.165,123.126.51.64,12
147.32.84.165,123.126.51.65,30
147.32.84.165,147.32.80.9,40
147.32.84.165,147.32.84.255,28
147.32.84.165,195.113.232.73,14
147.32.84.165,209.85.149.160,10
147.32.84.165,218.29.42.137,12557
147.32.84.165,220.181.111.147,14
147.32.84.165,220.181.69.213,4
147.32.84.165,61.135.188.157,28
147.32.84.165,61.135.188.210,86
147.32.84.165,61.135.188.212,10
147.32.84.165,61.135.189.50,4
147.32.84.79,147.32.84.165,5
195.113.232.73,147.32.84.165,5
209.85.149.160,147.32.84.165,5
218.29.42.137,147.32.84.165,6329
220.181.111.147,147.32.84.165,7
61.135.188.157,147.32.84.165,9
61.135.188.210,147.32.84.165,34
61.135.188.212,147.32.84.165,5
