src_ip,dst_ip,communication_count
140.211.167.98,147.32.84.165,2
147.32.80.9,147.32.84.165,19
147.32.84.165,140.211.167.98,7
147.32.84.165,147.32.80.9,36
147.32.84.165,147.32.84.171,154
147.32.84.165,147.32.84.255,299
147.32.84.165,147.32.96.45,152
147.32.84.165,147.32.96.69,314110
147.32.84.165,187.78.6.63,6
147.32.84.165,195.113.232.75,10
147.32.84.165,211.140.164.103,2
147.32.84.165,213.232.93.3,78
147.32.84.165,239.255.255.250,24
147.32.84.165,60.11.14.251,6
147.32.84.165,65.55.56.40,16
147.32.84.165,74.125.232.197,8
147.32.84.165,74.125.232.199,8
147.32.84.165,74.125.232.206,8
147.32.84.165,74.125.232.207,8
147.32.84.165,78.37.60.52,6
147.32.84.165,78.40.125.4,272
147.32.84.165,82.96.64.4,256
147.32.84.165,85.190.0.3,758
147.32.84.165,86.65.39.15,76
147.32.84.171,147.32.84.165,88
147.32.84.79,147.32.84.165,10
147.32.96.45,147.32.84.165,79
187.78.6.63,147.32.84.165,3
195.113.232.75,147.32.84.165,3
211.140.164.103,147.32.84.165,1
213.232.93.3,147.32.84.165,47
60.11.14.251,147.32.84.165,1
74.125.232.197,147.32.84.165,3
74.125.232.199,147.32.84.165,3
74.125.232.206,147.32.84.165,3
74.125.232.207,147.32.84.165,3
78.37.60.52,147.32.84.165,1
78.40.125.4,147.32.84.165,165
82.96.64.4,147.32.84.165,153
85.190.0.3,147.32.84.165,498
86.65.39.15,147.32.84.165,46
