dst_ip,c2_comm_count
101.0.32.121,6
110.36.112.54,6
111.253.202.95,6
117.198.86.115,6
117.204.67.227,10
117.204.73.246,12
118.98.202.90,6
123.194.145.64,6
147.32.80.9,20
147.32.84.165,258
147.32.84.171,22
147.32.84.255,24
168.187.75.100,6
178.122.100.224,6
178.133.119.252,6
178.148.4.76,6
190.79.152.22,6
195.113.232.98,12
195.88.191.59,288
200.104.20.184,6
209.236.119.101,6
210.212.249.136,6
222.252.117.126,6
239.255.255.250,4
27.255.59.65,6
42.201.166.157,6
46.98.119.151,6
59.48.7.173,6
59.94.130.46,6
60.190.223.75,6
60.243.195.59,6
83.133.119.196,6
85.221.145.247,6
86.126.237.212,6
89.103.213.96,6
91.220.0.52,62
93.177.158.45,6
93.180.203.85,6
94.137.182.140,4
94.63.149.150,14
94.63.149.152,32
94.63.150.63,58
95.155.98.55,6
98.154.67.160,6
