timestamp,packet_size_sum,packet_count
2011-08-10 09:04:23,440,4
2011-08-10 09:04:24,671,7
2011-08-10 09:04:25,588,6
2011-08-10 09:04:26,2628,18
2011-08-10 09:04:27,220,2
2011-08-10 09:04:28,220,2
2011-08-10 09:04:29,220,2
2011-08-10 09:04:30,440,4
2011-08-10 09:04:31,220,2
2011-08-10 09:04:32,486,2
2011-08-10 09:04:33,220,2
2011-08-10 09:04:34,440,4
2011-08-10 09:04:35,220,2
2011-08-10 09:04:36,926,4
2011-08-10 09:04:41,350,2
2011-08-10 09:04:44,350,2
2011-08-10 09:04:47,350,2
2011-08-10 09:06:22,142,2
2011-08-10 09:06:23,868,11
2011-08-10 09:06:24,60,1
2011-08-10 09:06:26,423,3
2011-08-10 09:06:33,184,2
2011-08-10 09:06:34,368,4
2011-08-10 09:06:35,154,2
2011-08-10 09:06:36,28631,44
2011-08-10 09:06:37,156,2
2011-08-10 09:06:38,911,10
2011-08-10 09:06:39,16022,24
2011-08-10 09:06:40,45179,62
2011-08-10 09:06:41,162,2
2011-08-10 09:06:42,1186,8
2011-08-10 09:06:43,2838,15
2011-08-10 09:06:44,8751,17
2011-08-10 09:06:45,39404,50
2011-08-10 09:06:46,68752,78
2011-08-10 09:06:47,22081,23
2011-08-10 09:06:49,1244,9
2011-08-10 09:06:50,6124,15
2011-08-10 09:06:51,16240,68
2011-08-10 09:06:52,21961,54
2011-08-10 09:06:53,10326,42
2011-08-10 09:06:54,18337,40
2011-08-10 09:06:55,29016,48
2011-08-10 09:06:56,11104,24
2011-08-10 09:06:57,58553,95
2011-08-10 09:06:58,2293,19
2011-08-10 09:06:59,4946,14
2011-08-10 09:07:00,4518,7
2011-08-10 09:07:01,8867,16
2011-08-10 09:07:02,2381,19
2011-08-10 09:07:04,124,2
2011-08-10 09:07:05,330,5
2011-08-10 09:07:11,416,3
2011-08-10 09:07:12,124,2
2011-08-10 09:07:13,2076,15
2011-08-10 09:07:16,784,7
2011-08-10 09:07:17,3576,25
2011-08-10 09:07:20,4660,26
2011-08-10 09:07:21,3474,7
2011-08-10 09:07:22,1378,6
2011-08-10 09:07:23,2396,6
2011-08-10 09:07:24,5696,10
2011-08-10 09:07:25,5750,11
2011-08-10 09:07:26,8134,33
2011-08-10 09:07:27,2276,4
2011-08-10 09:07:28,1318,5
2011-08-10 09:07:29,2396,6
2011-08-10 09:07:30,1198,3
2011-08-10 09:07:31,3474,7
2011-08-10 09:07:32,7074,13
2011-08-10 09:07:33,6948,14
2011-08-10 09:07:34,10302,19
2011-08-10 09:07:35,4792,12
2011-08-10 09:07:36,8278,19
2011-08-10 09:07:37,2396,6
2011-08-10 09:07:38,5642,9
2011-08-10 09:07:39,2396,6
2011-08-10 09:07:40,1198,3
2011-08-10 09:07:41,5762,11
2011-08-10 09:07:43,1198,3
2011-08-10 09:07:44,8126,38
2011-08-10 09:07:45,6615,21
2011-08-10 09:07:46,3778,12
2011-08-10 09:07:47,11484,38
2011-08-10 09:07:48,10488,22
2011-08-10 09:07:49,13008,30
2011-08-10 09:07:50,5642,9
2011-08-10 09:07:51,15878,27
2011-08-10 09:07:52,120,2
2011-08-10 09:07:53,4590,25
2011-08-10 09:07:54,124,2
2011-08-10 09:07:55,1078,1
2011-08-10 09:07:56,2462,7
2011-08-10 09:07:57,7024,15
2011-08-10 09:07:58,3594,9
2011-08-10 09:07:59,3420,6
2011-08-10 09:08:00,1198,3
2011-08-10 09:08:01,5696,10
2011-08-10 09:08:02,5750,11
2011-08-10 09:08:03,7972,14
2011-08-10 09:08:04,6774,11
2011-08-10 09:08:05,17006,45
2011-08-10 09:08:06,16056,30
2011-08-10 09:08:07,20290,35
2011-08-10 09:08:08,1296,21
2011-08-10 09:08:09,124,2
2011-08-10 09:08:14,1116,18
2011-08-10 09:08:15,124,2
2011-08-10 09:08:26,2138,16
2011-08-10 09:08:27,60,1
2011-08-10 09:08:29,372,6
2011-08-10 09:08:32,248,4
2011-08-10 09:08:35,2324,19
2011-08-10 09:08:36,658,5
2011-08-10 09:08:37,2978,4
2011-08-10 09:08:38,248,4
2011-08-10 09:08:39,1546,3
2011-08-10 09:08:40,7634,13
2011-08-10 09:08:41,7440,10
2011-08-10 09:08:42,6010,9
2011-08-10 09:08:43,7490,11
2011-08-10 09:08:44,15046,23
2011-08-10 09:08:45,24124,37
2011-08-10 09:08:46,25509,53
2011-08-10 09:08:47,7171,16
2011-08-10 09:08:48,2497,22
2011-08-10 09:08:49,2327,23
2011-08-10 09:08:52,432,7
2011-08-10 09:08:53,552,9
2011-08-10 09:08:54,244,4
2011-08-10 09:08:56,124,2
2011-08-10 09:08:57,124,2
2011-08-10 09:08:58,124,2
2011-08-10 09:08:59,2325,19
2011-08-10 09:09:00,3074,11
2011-08-10 09:09:01,6774,11
2011-08-10 09:09:02,6110,17
2011-08-10 09:09:03,8332,20
2011-08-10 09:09:04,5576,8
2011-08-10 09:09:05,6324,20
2011-08-10 09:09:06,13548,22
2011-08-10 09:09:07,8096,16
2011-08-10 09:09:08,15118,31
2011-08-10 09:09:09,9236,18
2011-08-10 09:09:10,9186,17
2011-08-10 09:09:11,1198,3
2011-08-10 09:09:12,2276,4
2011-08-10 09:09:13,9170,17
2011-08-10 09:09:14,5279,16
2011-08-10 09:09:15,2858,24
2011-08-10 09:09:17,724,8
2011-08-10 09:09:18,184,3
2011-08-10 09:09:19,60,1
2011-08-10 09:09:22,1062,8
2011-08-10 09:09:23,982,12
2011-08-10 09:09:24,670,4
2011-08-10 09:09:25,368,4
2011-08-10 09:09:26,6600,22
2011-08-10 09:09:27,1044,14
2011-08-10 09:09:28,124,2
2011-08-10 09:09:29,35077,85
2011-08-10 09:09:30,79214,121
2011-08-10 09:09:31,78064,113
2011-08-10 09:09:32,250,4
2011-08-10 09:09:36,124,2
2011-08-10 09:09:38,124,2
2011-08-10 09:09:45,360,6
2011-08-10 09:09:46,484,8
2011-08-10 09:09:47,124,2
2011-08-10 09:09:49,124,2
2011-08-10 09:09:50,124,2
2011-08-10 09:09:51,194,3
2011-08-10 09:09:52,194,3
2011-08-10 09:09:56,248,4
2011-08-10 09:09:57,468,5
2011-08-10 09:09:59,124,2
2011-08-10 09:10:00,124,2
2011-08-10 09:10:04,288,4
2011-08-10 09:10:05,1174,17
2011-08-10 09:10:06,2299,31
2011-08-10 09:10:07,804,6
2011-08-10 09:10:08,576,5
2011-08-10 09:10:09,2654,7
2011-08-10 09:10:10,184,3
2011-08-10 09:10:11,308,5
2011-08-10 09:10:12,60,1
2011-08-10 09:10:14,304,5
2011-08-10 09:10:16,124,2
2011-08-10 09:10:17,1010,13
2011-08-10 09:10:19,268,4
2011-08-10 09:10:20,3561,13
2011-08-10 09:10:21,74453,200
2011-08-10 09:10:22,15631,88
2011-08-10 09:10:23,356,2
2011-08-10 09:10:25,120,2
2011-08-10 09:10:26,124,2
2011-08-10 09:10:29,124,2
