timestamp,packet_size_sum,packet_count
2011-08-19 08:42:16,89,1
2011-08-19 08:42:18,440,4
2011-08-19 08:42:19,1128,12
2011-08-19 08:42:20,772,8
2011-08-19 08:42:21,7558,35
2011-08-19 08:42:22,624,6
2011-08-19 08:42:23,1849,15
2011-08-19 08:42:24,794842,938
2011-08-19 08:42:25,440,4
2011-08-19 08:42:26,220,2
2011-08-19 08:42:27,1016,6
2011-08-19 08:42:28,309,3
2011-08-19 08:42:29,630,6
2011-08-19 08:42:30,570,4
2011-08-19 08:42:31,926,4
2011-08-19 08:42:33,350,2
2011-08-19 08:42:38,89,1
2011-08-19 08:42:43,89,1
2011-08-19 08:42:48,89,1
2011-08-19 08:42:58,184,2
2011-08-19 08:42:59,368,4
2011-08-19 08:43:00,753,9
2011-08-19 08:43:01,3057,15
2011-08-19 08:43:02,9763,43
2011-08-19 08:43:03,6802,28
2011-08-19 08:43:04,11805,24
2011-08-19 08:43:05,29271,42
2011-08-19 08:43:06,148815,205
2011-08-19 08:43:07,223367,282
2011-08-19 08:43:08,240441,293
2011-08-19 08:43:09,231008,304
2011-08-19 08:43:10,265537,329
2011-08-19 08:43:11,270362,351
2011-08-19 08:43:12,230199,315
2011-08-19 08:43:13,266770,359
2011-08-19 08:43:14,256026,394
2011-08-19 08:43:15,272100,381
2011-08-19 08:43:16,301651,463
2011-08-19 08:43:17,396745,517
2011-08-19 08:43:18,357460,492
2011-08-19 08:43:19,418276,552
2011-08-19 08:43:20,492320,648
2011-08-19 08:43:21,348697,456
2011-08-19 08:43:22,223055,315
2011-08-19 08:43:23,234222,297
2011-08-19 08:43:24,2629270,2795
2011-08-19 08:43:25,1105089,1198
2011-08-19 08:43:26,367377,429
2011-08-19 08:43:27,289185,364
2011-08-19 08:43:28,256041,311
2011-08-19 08:43:29,233127,289
2011-08-19 08:43:30,228231,284
2011-08-19 08:43:31,202560,242
2011-08-19 08:43:32,212825,252
2011-08-19 08:43:33,224700,268
2011-08-19 08:43:34,238360,283
2011-08-19 08:43:35,324834,380
2011-08-19 08:43:36,219425,255
2011-08-19 08:43:37,240885,295
2011-08-19 08:43:38,199792,261
2011-08-19 08:43:39,226714,329
2011-08-19 08:43:40,227900,305
2011-08-19 08:43:41,249886,315
2011-08-19 08:43:42,222351,271
2011-08-19 08:43:43,226002,268
2011-08-19 08:43:44,217257,271
2011-08-19 08:43:45,215488,266
2011-08-19 08:43:46,19152,36
2011-08-19 08:43:47,14654,27
2011-08-19 08:43:48,22180,34
2011-08-19 08:43:49,27928,47
2011-08-19 08:43:50,43317,64
2011-08-19 08:43:51,28460,42
2011-08-19 08:43:52,32998,47
2011-08-19 08:43:53,33783,58
2011-08-19 08:43:54,23244,42
2011-08-19 08:43:55,74884,103
2011-08-19 08:43:56,22054,39
2011-08-19 08:43:57,15502,34
2011-08-19 08:43:58,12944,22
2011-08-19 08:43:59,5022,12
2011-08-19 08:44:00,12912,24
2011-08-19 08:44:01,10104,24
2011-08-19 08:44:02,1626,3
2011-08-19 08:44:03,4734,7
2011-08-19 08:44:04,8130,16
2011-08-19 08:44:05,8070,15
2011-08-19 08:44:06,11370,21
2011-08-19 08:44:07,7830,11
2011-08-19 08:44:08,6336,10
2011-08-19 08:44:09,1614,3
2011-08-19 08:44:10,7830,11
2011-08-19 08:44:11,7830,11
2011-08-19 08:44:12,12432,16
2011-08-19 08:44:13,15540,20
2011-08-19 08:44:14,15900,26
2011-08-19 08:44:15,20262,27
2011-08-19 08:44:16,15780,24
2011-08-19 08:44:17,26348,53
2011-08-19 08:44:18,24275,56
2011-08-19 08:44:19,13163,34
2011-08-19 08:44:20,7974,13
2011-08-19 08:44:21,16604,73
2011-08-19 08:44:22,19113,68
2011-08-19 08:44:23,33169,182
2011-08-19 08:44:24,368039,846
2011-08-19 08:44:25,830650,1439
2011-08-19 08:44:26,622590,1119
2011-08-19 08:44:27,618080,1131
2011-08-19 08:44:28,668223,1261
2011-08-19 08:44:29,712434,1205
2011-08-19 08:44:30,672836,1048
2011-08-19 08:44:31,535063,1002
2011-08-19 08:44:32,505492,860
2011-08-19 08:44:33,351948,712
2011-08-19 08:44:34,572142,1026
2011-08-19 08:44:35,537090,855
2011-08-19 08:44:36,558976,941
2011-08-19 08:44:37,517516,733
2011-08-19 08:44:38,383846,633
2011-08-19 08:44:39,339738,595
2011-08-19 08:44:40,442576,668
2011-08-19 08:44:41,592759,853
2011-08-19 08:44:42,760456,1046
2011-08-19 08:44:43,395588,543
2011-08-19 08:44:44,404010,553
2011-08-19 08:44:45,403293,555
2011-08-19 08:44:46,633904,823
2011-08-19 08:44:47,697028,854
2011-08-19 08:44:48,815564,1003
2011-08-19 08:44:49,803782,879
2011-08-19 08:44:50,631759,814
2011-08-19 08:44:51,603694,792
2011-08-19 08:44:52,366910,431
2011-08-19 08:44:53,29785,37
2011-08-19 08:44:54,4952,8
2011-08-19 08:44:55,500,4
2011-08-19 08:44:56,61544,73
2011-08-19 08:44:57,27638,33
2011-08-19 08:44:58,280,2
2011-08-19 08:44:59,26838,37
2011-08-19 08:45:00,64453,77
2011-08-19 08:45:02,21758,65
2011-08-19 08:45:03,51377,92
2011-08-19 08:45:04,41509,68
2011-08-19 08:45:05,24566,35
2011-08-19 08:45:06,280,2
2011-08-19 08:45:08,2943,21
2011-08-19 08:45:09,4986,25
2011-08-19 08:45:10,1429,9
2011-08-19 08:45:11,1154,7
2011-08-19 08:45:12,4443,30
2011-08-19 08:45:13,1161,11
2011-08-19 08:45:14,75768,95
2011-08-19 08:45:15,106703,123
2011-08-19 08:45:16,71676,78
2011-08-19 08:45:17,18430,24
2011-08-19 08:45:18,21683,47
2011-08-19 08:45:19,19998,38
2011-08-19 08:45:20,19333,31
2011-08-19 08:45:21,18991,29
2011-08-19 08:45:22,23782,59
2011-08-19 08:45:23,19813,32
2011-08-19 08:45:24,19748,36
2011-08-19 08:45:25,19803,31
2011-08-19 08:45:26,2476,4
2011-08-19 08:45:27,25008,31
2011-08-19 08:45:28,20645,39
2011-08-19 08:45:29,18609,27
2011-08-19 08:45:30,7708,14
2011-08-19 08:45:31,15172,26
2011-08-19 08:45:32,36763,59
2011-08-19 08:45:33,9613,15
2011-08-19 08:45:34,280,2
2011-08-19 08:45:36,18785,27
2011-08-19 08:45:37,18022,20
2011-08-19 08:45:38,11075,11
2011-08-19 08:45:39,3937,24
2011-08-19 08:45:40,594,3
2011-08-19 08:45:41,29015,31
2011-08-19 08:45:42,825,3
2011-08-19 08:45:43,7099,11
2011-08-19 08:45:44,269,3
2011-08-19 08:45:45,8966,10
2011-08-19 08:45:47,1574,9
2011-08-19 08:45:48,13874,17
2011-08-19 08:45:49,728,8
2011-08-19 08:45:50,403,5
2011-08-19 08:45:51,825,3
2011-08-19 08:45:52,825,3
2011-08-19 08:45:53,1294,15
2011-08-19 08:45:55,314,1
2011-08-19 08:45:56,1139,4
2011-08-19 08:45:58,825,3
2011-08-19 08:45:59,124,2
2011-08-19 08:46:00,905,6
2011-08-19 08:46:03,1600,16
2011-08-19 08:46:04,303,3
2011-08-19 08:46:06,646,5
2011-08-19 08:46:08,269,3
2011-08-19 08:46:13,694,4
2011-08-19 08:46:14,1033,5
2011-08-19 08:46:15,269,3
2011-08-19 08:46:16,109679,116
