src_ip,dst_ip,communication_count
109.104.70.194,147.32.84.165,1
109.123.152.2,147.32.84.165,2
109.123.174.207,147.32.84.165,1
109.126.10.50,147.32.84.165,1
109.167.200.100,147.32.84.165,1
109.197.253.241,147.32.84.165,1
109.206.161.3,147.32.84.165,1
109.206.161.90,147.32.84.165,1
109.206.162.162,147.32.84.165,3
109.234.156.34,147.32.84.165,5
109.234.158.149,147.32.84.165,1
109.234.198.10,147.32.84.165,1
109.235.49.72,147.32.84.165,4
109.237.213.143,147.32.84.165,4
109.60.160.1,147.32.84.165,1
109.62.254.199,147.32.84.165,1
109.62.254.200,147.32.84.165,1
109.68.190.45,147.32.84.165,34
109.68.190.46,147.32.84.165,28
109.70.26.36,147.32.84.165,11
109.74.192.232,147.32.84.165,1
109.74.197.75,147.32.84.165,1
109.86.241.24,147.32.84.165,3
109.95.210.147,147.32.84.165,1
109.95.210.161,147.32.84.165,1
111.221.102.89,147.32.84.165,12
111.92.142.42,147.32.84.165,5
112.205.182.117,147.32.84.165,3
113.193.156.31,147.32.84.165,1
113.21.74.83,147.32.84.165,3
113.52.131.2,147.32.84.165,2
113.52.131.5,147.32.84.165,1
114.27.11.170,147.32.84.165,3
114.58.187.40,147.32.84.165,3
115.137.250.215,147.32.84.165,12
115.85.238.119,147.32.84.165,3
115.97.135.112,147.32.84.165,3
115.99.115.251,147.32.84.165,4
116.193.128.2,147.32.84.165,3
117.198.86.115,147.32.84.165,8
117.204.73.246,147.32.84.165,6
117.207.49.181,147.32.84.165,3
117.207.5.248,147.32.84.165,8
117.207.7.56,147.32.84.165,7
117.224.216.244,147.32.84.165,3
117.224.41.27,147.32.84.165,1
118.96.124.137,147.32.84.165,6
119.154.131.100,147.32.84.165,3
119.154.24.194,147.32.84.165,9
119.160.247.124,147.32.84.165,7
119.252.176.10,147.32.84.165,1
121.101.152.99,147.32.84.165,4
122.127.64.127,147.32.84.165,3
122.224.6.164,147.32.84.165,113
123.236.248.177,147.32.84.165,3
128.112.129.15,147.32.84.165,1
128.139.6.66,147.32.84.165,3
128.32.136.3,147.32.84.165,1
128.63.2.53,147.32.84.165,89
128.8.10.90,147.32.84.165,86
129.13.65.10,147.32.84.165,1
129.143.2.10,147.32.84.165,1
129.247.247.33,147.32.84.165,1
129.247.247.39,147.32.84.165,1
130.226.1.4,147.32.84.165,1
130.239.5.114,147.32.84.165,4
130.59.211.10,147.32.84.165,1
131.246.119.18,147.32.84.165,1
132.199.1.2,147.32.84.165,1
134.176.2.5,147.32.84.165,1
134.176.2.7,147.32.84.165,1
134.96.100.105,147.32.84.165,1
137.254.16.78,147.32.84.165,2
137.39.1.3,147.32.84.165,3
139.174.2.5,147.32.84.165,1
139.30.8.8,147.32.84.165,1
139.91.1.1,147.32.84.165,1
141.2.149.10,147.32.84.165,1
144.122.95.51,147.32.84.165,1
145.253.2.19,147.32.84.165,4
145.253.2.80,147.32.84.165,4
145.253.3.171,147.32.84.165,6
147.231.58.1,147.32.84.165,1
147.28.0.39,147.32.84.165,1
147.32.80.9,147.32.84.165,7421
147.32.84.165,1.22.16.143,4
147.32.84.165,1.23.71.127,6
147.32.84.165,101.0.32.121,18
147.32.84.165,103.10.110.19,6
147.32.84.165,109.104.70.194,2
147.32.84.165,109.123.152.2,4
147.32.84.165,109.123.174.207,2
147.32.84.165,109.126.10.50,2
147.32.84.165,109.167.200.100,2
147.32.84.165,109.197.253.241,4
147.32.84.165,109.199.195.150,6
147.32.84.165,109.200.239.148,14
147.32.84.165,109.200.240.44,6
147.32.84.165,109.206.161.3,2
147.32.84.165,109.206.161.90,2
147.32.84.165,109.206.162.162,6
147.32.84.165,109.234.156.34,10
147.32.84.165,109.234.158.149,2
147.32.84.165,109.234.198.10,2
147.32.84.165,109.235.49.72,8
147.32.84.165,109.237.213.143,8
147.32.84.165,109.60.160.1,2
147.32.84.165,109.62.254.199,4
147.32.84.165,109.62.254.200,2
147.32.84.165,109.68.190.45,68
147.32.84.165,109.68.190.46,56
147.32.84.165,109.70.26.36,58
147.32.84.165,109.74.192.232,2
147.32.84.165,109.74.194.10,2
147.32.84.165,109.74.197.75,2
147.32.84.165,109.86.117.4,4
147.32.84.165,109.86.241.24,6
147.32.84.165,109.87.192.82,4
147.32.84.165,109.95.210.147,2
147.32.84.165,109.95.210.161,2
147.32.84.165,111.221.102.89,24
147.32.84.165,111.253.202.95,18
147.32.84.165,111.88.1.3,4
147.32.84.165,111.88.31.68,26
147.32.84.165,111.88.33.160,12
147.32.84.165,111.88.4.78,6
147.32.84.165,111.88.77.58,14
147.32.84.165,111.88.79.41,16
147.32.84.165,111.92.129.242,2
147.32.84.165,111.92.142.42,22
147.32.84.165,112.110.18.151,4
147.32.84.165,112.152.241.216,4
147.32.84.165,112.200.131.200,6
147.32.84.165,112.205.111.114,14
147.32.84.165,112.205.182.117,12
147.32.84.165,112.216.242.123,24
147.32.84.165,113.193.156.31,4
147.32.84.165,113.21.74.83,6
147.32.84.165,113.255.129.49,8
147.32.84.165,113.36.206.49,2
147.32.84.165,113.52.131.2,4
147.32.84.165,113.52.131.5,2
147.32.84.165,114.108.154.169,6
147.32.84.165,114.108.154.209,6
147.32.84.165,114.108.154.214,6
147.32.84.165,114.108.154.238,6
147.32.84.165,114.108.154.243,6
147.32.84.165,114.108.154.244,6
147.32.84.165,114.120.50.74,4
147.32.84.165,114.134.80.211,6
147.32.84.165,114.147.37.227,6
147.32.84.165,114.147.42.163,6
147.32.84.165,114.147.58.7,6
147.32.84.165,114.27.11.170,6
147.32.84.165,114.57.53.106,18
147.32.84.165,114.58.187.40,12
147.32.84.165,114.59.51.188,20
147.32.84.165,115.137.250.215,24
147.32.84.165,115.184.216.90,12
147.32.84.165,115.240.199.38,14
147.32.84.165,115.240.73.24,4
147.32.84.165,115.60.169.243,4
147.32.84.165,115.85.238.119,6
147.32.84.165,115.97.135.112,6
147.32.84.165,115.98.214.212,12
147.32.84.165,115.98.215.108,6
147.32.84.165,115.99.115.251,18
147.32.84.165,116.111.184.69,6
147.32.84.165,116.111.222.15,18
147.32.84.165,116.193.128.2,6
147.32.84.165,116.72.72.149,18
147.32.84.165,116.90.164.27,6
147.32.84.165,117.196.25.55,28
147.32.84.165,117.197.182.9,8
147.32.84.165,117.197.21.10,4
147.32.84.165,117.197.22.127,4
147.32.84.165,117.197.27.8,16
147.32.84.165,117.198.168.149,4
147.32.84.165,117.198.86.115,16
147.32.84.165,117.199.114.136,12
147.32.84.165,117.201.114.47,4
147.32.84.165,117.203.229.154,2
147.32.84.165,117.204.64.132,12
147.32.84.165,117.204.65.119,4
147.32.84.165,117.204.65.177,8
147.32.84.165,117.204.66.49,4
147.32.84.165,117.204.67.227,12
147.32.84.165,117.204.67.233,12
147.32.84.165,117.204.73.246,20
147.32.84.165,117.204.73.9,6
147.32.84.165,117.204.74.3,4
147.32.84.165,117.204.76.152,6
147.32.84.165,117.205.50.80,10
147.32.84.165,117.205.55.134,4
147.32.84.165,117.206.80.51,8
147.32.84.165,117.207.49.181,16
147.32.84.165,117.207.5.248,16
147.32.84.165,117.207.7.56,14
147.32.84.165,117.224.216.244,10
147.32.84.165,117.224.242.30,8
147.32.84.165,117.224.41.27,22
147.32.84.165,117.240.58.150,2
147.32.84.165,117.242.61.2,14
147.32.84.165,117.53.114.15,6
147.32.84.165,117.53.114.19,6
147.32.84.165,117.96.96.152,24
147.32.84.165,118.103.34.98,6
147.32.84.165,118.136.111.104,14
147.32.84.165,118.23.100.198,6
147.32.84.165,118.23.109.24,6
147.32.84.165,118.23.109.73,6
147.32.84.165,118.34.142.43,6
147.32.84.165,118.86.12.94,8
147.32.84.165,118.96.124.137,12
147.32.84.165,118.98.202.90,16
147.32.84.165,119.152.220.218,4
147.32.84.165,119.154.117.193,10
147.32.84.165,119.154.129.1,16
147.32.84.165,119.154.130.96,18
147.32.84.165,119.154.131.100,22
147.32.84.165,119.154.24.194,18
147.32.84.165,119.154.54.142,18
147.32.84.165,119.154.70.142,4
147.32.84.165,119.154.75.69,10
147.32.84.165,119.160.247.124,14
147.32.84.165,119.161.16.24,18
147.32.84.165,119.178.199.146,12
147.32.84.165,119.205.212.219,12
147.32.84.165,119.252.176.10,2
147.32.84.165,119.63.45.53,6
147.32.84.165,12.1.218.11,6
147.32.84.165,12.102.252.75,30
147.32.84.165,12.154.55.40,6
147.32.84.165,12.156.137.227,6
147.32.84.165,12.172.137.108,6
147.32.84.165,12.180.54.148,6
147.32.84.165,12.233.15.67,6
147.32.84.165,12.42.129.211,6
147.32.84.165,12.42.184.3,6
147.32.84.165,12.6.148.4,6
147.32.84.165,12.96.117.26,6
147.32.84.165,120.138.121.194,6
147.32.84.165,120.63.27.163,6
147.32.84.165,121.101.152.99,8
147.32.84.165,121.189.61.157,6
147.32.84.165,121.245.3.131,8
147.32.84.165,121.31.253.12,6
147.32.84.165,122.1.235.148,6
147.32.84.165,122.121.68.110,12
147.32.84.165,122.127.64.127,6
147.32.84.165,122.200.253.201,6
147.32.84.165,122.218.153.19,14
147.32.84.165,122.224.6.164,236
147.32.84.165,122.28.30.179,6
147.32.84.165,122.28.30.180,6
147.32.84.165,123.100.1.211,6
147.32.84.165,123.100.1.212,6
147.32.84.165,123.192.69.237,4
147.32.84.165,123.194.145.64,4
147.32.84.165,123.236.248.177,6
147.32.84.165,123.27.93.41,10
147.32.84.165,124.108.110.37,150
147.32.84.165,124.108.116.109,36
147.32.84.165,124.108.96.211,6
147.32.84.165,124.123.106.96,22
147.32.84.165,124.123.111.216,6
147.32.84.165,124.123.147.161,4
147.32.84.165,124.123.78.67,6
147.32.84.165,124.254.72.89,12
147.32.84.165,124.81.2.139,6
147.32.84.165,125.114.134.15,14
147.32.84.165,125.206.187.30,6
147.32.84.165,125.40.93.86,4
147.32.84.165,125.5.96.59,6
147.32.84.165,125.99.28.64,12
147.32.84.165,128.107.234.206,18
147.32.84.165,128.112.129.15,2
147.32.84.165,128.119.103.10,6
147.32.84.165,128.121.85.2,30
147.32.84.165,128.139.6.66,6
147.32.84.165,128.146.216.132,6
147.32.84.165,128.220.161.141,6
147.32.84.165,128.242.120.13,12
147.32.84.165,128.32.136.3,2
147.32.84.165,128.63.2.53,178
147.32.84.165,128.8.10.90,172
147.32.84.165,129.104.30.35,6
147.32.84.165,129.12.21.31,6
147.32.84.165,129.13.65.10,2
147.32.84.165,129.143.2.10,2
147.32.84.165,129.247.247.33,2
147.32.84.165,129.247.247.39,2
147.32.84.165,129.35.232.212,6
147.32.84.165,129.67.1.171,6
147.32.84.165,130.113.196.54,6
147.32.84.165,130.149.17.20,6
147.32.84.165,130.226.1.4,2
147.32.84.165,130.239.5.114,8
147.32.84.165,130.59.211.10,2
147.32.84.165,130.68.1.48,6
147.32.84.165,130.74.120.171,6
147.32.84.165,130.75.31.192,6
147.32.84.165,130.88.200.5,6
147.32.84.165,130.94.124.172,6
147.32.84.165,130.94.149.85,6
147.32.84.165,131.173.17.11,6
147.32.84.165,131.246.119.18,2
147.32.84.165,132.181.2.71,6
147.32.84.165,132.199.1.2,2
147.32.84.165,132.64.178.45,6
147.32.84.165,133.106.3.1,6
147.32.84.165,134.114.96.19,6
147.32.84.165,134.176.2.5,2
147.32.84.165,134.176.2.7,2
147.32.84.165,134.192.184.196,6
147.32.84.165,134.25.0.135,6
147.32.84.165,134.84.119.205,6
147.32.84.165,134.84.119.232,6
147.32.84.165,134.96.100.105,2
147.32.84.165,136.234.80.72,6
147.32.84.165,137.254.16.78,8
147.32.84.165,137.39.1.3,6
147.32.84.165,138.26.5.112,6
147.32.84.165,139.142.139.89,6
147.32.84.165,139.174.2.44,6
147.32.84.165,139.174.2.5,2
147.32.84.165,139.30.8.8,2
147.32.84.165,139.91.1.1,2
147.32.84.165,14.97.39.52,8
147.32.84.165,14.98.87.197,6
147.32.84.165,141.146.126.228,12
147.32.84.165,141.2.149.10,2
147.32.84.165,141.211.22.134,12
147.32.84.165,141.71.1.161,6
147.32.84.165,142.161.2.100,6
147.32.84.165,143.107.171.10,16
147.32.84.165,143.164.102.16,6
147.32.84.165,143.19.70.13,6
147.32.84.165,144.122.95.51,2
147.32.84.165,144.92.197.138,6
147.32.84.165,145.253.2.19,8
147.32.84.165,145.253.2.80,8
147.32.84.165,145.253.3.171,12
147.32.84.165,145.78.21.41,6
147.32.84.165,146.141.15.6,6
147.32.84.165,146.145.21.187,6
147.32.84.165,147.108.253.152,6
147.32.84.165,147.187.10.115,6
147.32.84.165,147.202.2.128,6
147.32.84.165,147.228.57.19,6
147.32.84.165,147.231.58.1,2
147.32.84.165,147.28.0.39,2
147.32.84.165,147.32.80.9,14870
147.32.84.165,147.32.84.171,132
147.32.84.165,147.32.84.255,394
147.32.84.165,147.32.96.45,430
147.32.84.165,147.45.195.12,2
147.32.84.165,148.123.15.75,18
147.32.84.165,148.168.224.83,6
147.32.84.165,148.245.131.66,6
147.32.84.165,148.87.41.220,6
147.32.84.165,149.168.221.229,6
147.32.84.165,149.20.56.132,6
147.32.84.165,15.195.192.37,2
147.32.84.165,15.195.208.12,4
147.32.84.165,15.203.209.12,4
147.32.84.165,15.203.224.14,2
147.32.84.165,15.219.145.12,4
147.32.84.165,15.227.128.50,44
147.32.84.165,15.243.160.50,56
147.32.84.165,150.12.74.3,6
147.32.84.165,150.186.92.225,12
147.32.84.165,150.214.76.100,6
147.32.84.165,150.228.43.61,6
147.32.84.165,150.244.9.241,6
147.32.84.165,150.70.226.96,12
147.32.84.165,150.70.74.47,6
147.32.84.165,151.151.26.141,18
147.32.84.165,151.189.0.25,10
147.32.84.165,151.189.13.25,18
147.32.84.165,151.189.21.118,6
147.32.84.165,151.193.220.18,6
147.32.84.165,153.2.232.129,6
147.32.84.165,153.45.88.198,6
147.32.84.165,155.44.218.58,6
147.32.84.165,156.154.100.15,2
147.32.84.165,156.154.101.18,4
147.32.84.165,156.154.101.25,2
147.32.84.165,156.154.101.26,2
147.32.84.165,156.154.102.18,2
147.32.84.165,156.154.102.25,2
147.32.84.165,156.154.102.26,2
147.32.84.165,156.154.102.3,2
147.32.84.165,156.154.103.3,6
147.32.84.165,156.154.104.18,2
147.32.84.165,156.154.124.65,14
147.32.84.165,156.154.124.70,2
147.32.84.165,156.154.125.65,14
147.32.84.165,156.154.126.65,14
147.32.84.165,156.154.126.70,2
147.32.84.165,156.154.127.65,12
147.32.84.165,156.154.128.65,14
147.32.84.165,157.174.228.62,6
147.32.84.165,157.205.238.165,12
147.32.84.165,158.250.26.66,2
147.32.84.165,158.250.39.28,2
147.32.84.165,158.52.11.15,6
147.32.84.165,159.134.198.135,6
147.32.84.165,159.220.9.53,6
147.32.84.165,159.53.46.182,6
147.32.84.165,160.114.120.249,6
147.32.84.165,160.44.248.163,6
147.32.84.165,161.53.209.3,6
147.32.84.165,161.58.16.34,48
147.32.84.165,161.85.125.6,6
147.32.84.165,161.88.253.52,6
147.32.84.165,162.119.233.131,6
147.32.84.165,162.119.242.67,6
147.32.84.165,162.130.196.144,6
147.32.84.165,162.95.222.12,6
147.32.84.165,165.160.10.151,6
147.32.84.165,165.160.14.20,2
147.32.84.165,165.199.8.51,6
147.32.84.165,165.21.74.113,24
147.32.84.165,165.21.74.114,6
147.32.84.165,165.21.74.115,6
147.32.84.165,165.21.74.116,36
147.32.84.165,165.21.74.117,60
147.32.84.165,165.21.74.118,18
147.32.84.165,165.21.74.121,36
147.32.84.165,165.21.74.122,24
147.32.84.165,165.212.65.113,36
147.32.84.165,165.212.8.32,42
147.32.84.165,165.237.59.23,6
147.32.84.165,165.246.16.8,6
147.32.84.165,166.119.78.9,6
147.32.84.165,166.70.12.20,6
147.32.84.165,167.127.98.30,18
147.32.84.165,167.136.36.141,6
147.32.84.165,167.138.239.79,6
147.32.84.165,167.138.239.80,6
147.32.84.165,167.138.239.94,12
147.32.84.165,167.138.239.95,6
147.32.84.165,167.154.2.117,6
147.32.84.165,167.230.202.13,6
147.32.84.165,167.246.0.200,2
147.32.84.165,168.187.75.100,18
147.32.84.165,168.58.229.116,6
147.32.84.165,168.61.70.64,6
147.32.84.165,168.61.70.65,6
147.32.84.165,168.61.70.72,24
147.32.84.165,168.95.195.16,6
147.32.84.165,168.95.5.12,6
147.32.84.165,168.95.5.16,6
147.32.84.165,168.95.5.28,12
147.32.84.165,168.95.5.32,6
147.32.84.165,168.95.5.33,12
147.32.84.165,168.95.5.34,6
147.32.84.165,168.95.5.35,6
147.32.84.165,168.95.5.36,12
147.32.84.165,168.95.5.37,6
147.32.84.165,168.95.5.38,6
147.32.84.165,168.95.5.39,18
147.32.84.165,168.95.5.40,6
147.32.84.165,168.95.5.46,6
147.32.84.165,168.95.5.51,6
147.32.84.165,168.95.5.58,6
147.32.84.165,168.95.5.62,6
147.32.84.165,168.95.5.68,12
147.32.84.165,168.95.5.7,6
147.32.84.165,168.95.5.77,6
147.32.84.165,168.95.5.78,6
147.32.84.165,168.95.5.8,6
147.32.84.165,168.95.6.55,6
147.32.84.165,168.95.6.57,12
147.32.84.165,168.95.6.58,6
147.32.84.165,168.95.6.59,6
147.32.84.165,168.95.6.65,12
147.32.84.165,168.95.6.68,6
147.32.84.165,168.95.6.70,6
147.32.84.165,169.232.46.250,6
147.32.84.165,17.148.17.42,6
147.32.84.165,17.148.17.53,6
147.32.84.165,170.163.248.2,6
147.32.84.165,170.202.119.16,6
147.32.84.165,170.202.219.7,6
147.32.84.165,170.206.225.64,12
147.32.84.165,170.66.1.94,6
147.32.84.165,170.69.251.203,6
147.32.84.165,173.0.137.148,6
147.32.84.165,173.160.140.70,6
147.32.84.165,173.186.244.141,6
147.32.84.165,173.192.170.88,4108
147.32.84.165,173.192.209.235,6
147.32.84.165,173.192.217.195,12
147.32.84.165,173.192.230.135,4
147.32.84.165,173.193.193.4,6
147.32.84.165,173.193.98.194,2
147.32.84.165,173.201.186.217,2
147.32.84.165,173.203.205.61,6
147.32.84.165,173.210.69.114,6
147.32.84.165,173.212.197.124,262
147.32.84.165,173.212.197.125,238
147.32.84.165,173.227.72.50,6
147.32.84.165,173.236.81.226,106
147.32.84.165,173.241.196.70,6
147.32.84.165,173.241.196.71,6
147.32.84.165,173.241.196.95,34
147.32.84.165,173.241.196.96,2
147.32.84.165,173.247.244.100,6
147.32.84.165,173.255.235.206,6
147.32.84.165,174.120.11.194,6
