src_ip,dst_ip,communication_count
101.0.32.121,147.32.84.165,3
109.200.239.148,147.32.84.165,9
109.86.117.4,147.32.84.165,6
109.86.241.24,147.32.84.165,3
109.87.192.82,147.32.84.165,3
111.88.1.3,147.32.84.165,3
112.90.144.2,147.32.84.165,1
113.255.129.49,147.32.84.165,3
114.255.40.2,147.32.84.165,2
115.184.216.90,147.32.84.165,3
115.239.230.39,147.32.84.165,181
115.240.199.38,147.32.84.165,5
115.240.73.24,147.32.84.165,3
115.60.169.243,147.32.84.165,7
115.85.238.119,147.32.84.165,5
116.193.128.2,147.32.84.165,3
117.198.163.52,147.32.84.165,9
117.198.86.115,147.32.84.165,6
117.204.76.152,147.32.84.165,3
117.224.242.30,147.32.84.165,7
117.224.41.27,147.32.84.165,6
119.152.220.218,147.32.84.165,3
121.11.80.162,147.32.84.165,1
121.14.213.138,147.32.84.165,1
122.121.68.110,147.32.84.165,2
122.127.64.127,147.32.84.165,6
122.224.6.164,147.32.84.165,77
122.228.199.134,147.32.84.165,157
123.194.145.64,147.32.84.165,3
137.254.16.78,147.32.84.165,2
147.32.80.9,147.32.84.165,7522
147.32.84.165,1.23.71.127,6
147.32.84.165,101.0.32.121,12
147.32.84.165,109.200.239.148,18
147.32.84.165,109.201.233.98,4
147.32.84.165,109.239.54.23,6
147.32.84.165,109.86.117.4,12
147.32.84.165,109.86.241.24,6
147.32.84.165,109.87.192.82,6
147.32.84.165,110.36.112.54,22
147.32.84.165,110.93.19.248,6
147.32.84.165,111.253.202.95,24
147.32.84.165,111.88.1.3,34
147.32.84.165,111.88.33.160,14
147.32.84.165,111.88.4.78,10
147.32.84.165,111.88.72.94,14
147.32.84.165,111.88.77.58,6
147.32.84.165,111.88.79.41,12
147.32.84.165,111.92.129.242,8
147.32.84.165,112.110.18.151,8
147.32.84.165,112.152.241.216,12
147.32.84.165,112.200.131.200,28
147.32.84.165,112.205.182.117,6
147.32.84.165,112.207.129.130,4
147.32.84.165,112.90.144.2,2
147.32.84.165,113.20.239.202,14
147.32.84.165,113.255.129.49,6
147.32.84.165,113.36.206.49,8
147.32.84.165,114.108.154.236,6
147.32.84.165,114.108.154.242,6
147.32.84.165,114.111.99.248,6
147.32.84.165,114.120.50.74,4
147.32.84.165,114.255.40.2,6
147.32.84.165,114.27.11.170,8
147.32.84.165,114.57.53.106,10
147.32.84.165,114.58.187.40,4
147.32.84.165,114.59.51.188,4
147.32.84.165,115.148.196.99,6
147.32.84.165,115.184.216.90,6
147.32.84.165,115.239.230.39,572
147.32.84.165,115.240.199.38,10
147.32.84.165,115.240.73.24,14
147.32.84.165,115.60.169.243,16
147.32.84.165,115.85.238.119,10
147.32.84.165,115.97.135.112,14
147.32.84.165,115.98.214.212,2
147.32.84.165,115.98.215.108,8
147.32.84.165,115.99.115.251,10
147.32.84.165,116.111.184.69,12
147.32.84.165,116.111.222.15,12
147.32.84.165,116.193.128.2,6
147.32.84.165,116.193.138.134,12
147.32.84.165,116.228.139.242,12
147.32.84.165,116.72.72.149,6
147.32.84.165,117.197.21.10,4
147.32.84.165,117.197.22.127,2
147.32.84.165,117.197.27.8,10
147.32.84.165,117.198.163.52,18
147.32.84.165,117.198.86.115,18
147.32.84.165,117.199.114.136,16
147.32.84.165,117.203.229.154,20
147.32.84.165,117.204.64.121,4
147.32.84.165,117.204.64.132,2
147.32.84.165,117.204.65.119,4
147.32.84.165,117.204.65.177,12
147.32.84.165,117.204.66.49,18
147.32.84.165,117.204.67.227,14
147.32.84.165,117.204.67.233,8
147.32.84.165,117.204.73.246,28
147.32.84.165,117.204.76.152,10
147.32.84.165,117.205.50.80,4
147.32.84.165,117.205.55.134,12
147.32.84.165,117.206.80.51,12
147.32.84.165,117.207.49.181,10
147.32.84.165,117.207.7.56,4
147.32.84.165,117.224.242.30,24
147.32.84.165,117.224.41.27,24
147.32.84.165,117.240.58.150,6
147.32.84.165,117.242.61.2,10
147.32.84.165,118.136.111.104,4
147.32.84.165,118.34.142.43,10
147.32.84.165,118.96.124.137,2
147.32.84.165,118.98.202.90,16
147.32.84.165,119.152.220.218,6
147.32.84.165,119.154.117.193,16
147.32.84.165,119.154.129.1,4
147.32.84.165,119.154.130.96,6
147.32.84.165,119.154.131.100,14
147.32.84.165,119.154.183.214,12
147.32.84.165,119.154.24.194,18
147.32.84.165,119.154.54.142,16
147.32.84.165,119.224.141.132,12
147.32.84.165,12.102.252.75,36
147.32.84.165,12.131.117.139,6
