src_ip,dst_ip,communication_count
147.32.80.9,147.32.84.165,64
147.32.84.165,147.32.80.9,273
147.32.84.165,147.32.84.171,44
147.32.84.165,147.32.84.255,30
147.32.84.165,147.32.96.45,11
147.32.84.165,147.32.96.69,139451
147.32.84.165,186.19.120.113,6
147.32.84.165,192.168.88.121,11
147.32.84.165,192.168.88.148,18
147.32.84.165,195.113.232.90,2
147.32.84.165,82.96.64.4,100
147.32.84.165,85.190.0.3,276
147.32.84.165,86.65.39.15,82
147.32.84.171,147.32.84.165,24
147.32.84.79,147.32.84.165,5
147.32.96.45,147.32.84.165,8
186.19.120.113,147.32.84.165,3
82.96.64.4,147.32.84.165,65
85.190.0.3,147.32.84.165,138
86.65.39.15,147.32.84.165,55
