src_ip,dst_ip,communication_count
147.32.80.9,147.32.84.165,27
147.32.84.165,10.42.23.11,2
147.32.84.165,113.37.88.39,4
147.32.84.165,114.108.161.130,8
147.32.84.165,114.111.103.180,2
147.32.84.165,114.111.83.217,8
147.32.84.165,114.111.99.248,8
147.32.84.165,115.113.175.179,4
147.32.84.165,115.119.181.169,2
147.32.84.165,117.121.210.150,2
147.32.84.165,117.53.114.15,8
147.32.84.165,118.103.12.44,2
147.32.84.165,118.221.122.4,4
147.32.84.165,119.15.65.2,2
147.32.84.165,12.104.15.25,2
147.32.84.165,12.104.15.26,2
147.32.84.165,12.108.118.5,4
147.32.84.165,12.146.86.206,2
147.32.84.165,12.147.30.2,4
147.32.84.165,12.161.55.3,4
147.32.84.165,12.166.237.135,8
147.32.84.165,12.166.237.136,2
147.32.84.165,12.168.25.161,2
147.32.84.165,12.168.82.17,4
147.32.84.165,12.17.175.148,2
147.32.84.165,12.177.80.36,4
147.32.84.165,12.179.27.33,2
147.32.84.165,12.180.242.194,4
147.32.84.165,12.181.137.45,2
147.32.84.165,12.183.0.4,8
147.32.84.165,12.200.228.4,4
147.32.84.165,12.205.130.3,2
147.32.84.165,12.220.197.220,4
147.32.84.165,12.232.14.3,2
147.32.84.165,12.32.21.101,2
147.32.84.165,12.32.79.157,2
147.32.84.165,12.34.32.242,2
147.32.84.165,12.37.128.12,4
147.32.84.165,12.43.88.112,4
147.32.84.165,12.47.219.10,2
147.32.84.165,12.5.138.32,4
147.32.84.165,12.53.131.17,2
147.32.84.165,12.53.159.12,4
147.32.84.165,12.53.8.39,4
147.32.84.165,12.54.101.34,4
147.32.84.165,12.96.222.10,2
147.32.84.165,122.1.231.151,2
147.32.84.165,122.146.31.208,2
147.32.84.165,122.248.162.3,2
147.32.84.165,122.248.162.7,2
147.32.84.165,122.255.3.158,2
147.32.84.165,122.28.14.146,8
147.32.84.165,122.28.14.147,2
147.32.84.165,122.28.30.179,4
147.32.84.165,123.176.101.54,4
147.32.84.165,124.108.96.211,4
147.32.84.165,124.146.201.175,4
147.32.84.165,124.83.147.156,2
147.32.84.165,124.83.207.138,2
147.32.84.165,125.16.62.82,4
147.32.84.165,125.206.201.99,4
147.32.84.165,125.5.96.59,4
147.32.84.165,128.107.234.207,4
147.32.84.165,128.122.119.206,4
147.32.84.165,128.125.253.79,8
147.32.84.165,128.151.16.162,2
147.32.84.165,128.177.27.46,2
147.32.84.165,128.210.5.100,2
147.32.84.165,128.220.161.140,6
147.32.84.165,128.230.1.71,2
147.32.84.165,128.96.20.23,18
147.32.84.165,128.96.20.41,14
147.32.84.165,129.101.155.252,2
147.32.84.165,129.105.97.74,2
147.32.84.165,129.162.252.33,4
147.32.84.165,129.252.158.152,2
147.32.84.165,129.29.252.13,4
147.32.84.165,129.41.169.246,4
147.32.84.165,129.41.169.30,4
147.32.84.165,129.82.103.165,4
147.32.84.165,130.192.3.88,2
147.32.84.165,130.225.242.145,2
147.32.84.165,130.94.124.172,2
147.32.84.165,130.94.158.215,2
147.32.84.165,131.188.2.62,2
147.32.84.165,131.44.121.130,2
147.32.84.165,131.87.2.40,2
147.32.84.165,132.148.80.104,4
147.32.84.165,132.248.10.38,4
147.32.84.165,133.163.13.13,2
147.32.84.165,133.250.250.3,4
147.32.84.165,133.40.6.10,2
147.32.84.165,133.63.20.3,2
147.32.84.165,134.192.184.198,8
147.32.84.165,134.83.127.98,4
147.32.84.165,136.158.6.42,6
147.32.84.165,136.158.6.47,6
147.32.84.165,136.234.10.21,2
147.32.84.165,137.159.8.96,2
147.32.84.165,137.236.253.179,4
147.32.84.165,137.236.4.16,2
147.32.84.165,138.163.129.68,2
147.32.84.165,139.175.54.239,2
147.32.84.165,140.184.1.11,4
147.32.84.165,141.146.126.228,4
147.32.84.165,141.146.126.229,2
147.32.84.165,141.146.126.233,4
147.32.84.165,141.155.220.6,4
147.32.84.165,142.139.25.210,2
147.32.84.165,142.146.31.23,4
147.32.84.165,142.161.2.100,6
147.32.84.165,142.169.1.45,6
147.32.84.165,142.205.240.225,4
147.32.84.165,142.3.100.93,4
147.32.84.165,142.83.138.22,2
147.32.84.165,143.215.130.120,18
147.32.84.165,143.215.130.121,4
147.32.84.165,145.226.35.31,4
147.32.84.165,145.253.2.14,2
147.32.84.165,146.145.241.35,2
147.32.84.165,147.140.19.8,4
147.32.84.165,147.32.80.9,54
147.32.84.165,147.32.84.171,88
147.32.84.165,147.32.84.255,50
147.32.84.165,147.32.96.45,93
147.32.84.165,147.72.234.89,4
147.32.84.165,148.107.28.75,4
147.32.84.165,148.123.15.75,48
147.32.84.165,148.168.224.83,6
147.32.84.165,148.177.3.75,2
147.32.84.165,148.235.52.20,4
147.32.84.165,148.235.52.51,2
147.32.84.165,148.87.113.123,2
147.32.84.165,150.70.88.129,4
147.32.84.165,151.151.26.141,2
147.32.84.165,151.151.26.142,4
147.32.84.165,151.154.222.10,2
147.32.84.165,151.204.191.175,2
147.32.84.165,152.121.180.8,4
147.32.84.165,153.2.232.129,2
147.32.84.165,155.91.38.114,2
147.32.84.165,156.101.10.16,2
147.32.84.165,157.182.140.81,2
147.32.84.165,157.205.238.165,4
147.32.84.165,157.27.2.17,2
147.32.84.165,158.151.214.30,4
147.32.84.165,158.28.238.127,2
147.32.84.165,158.35.238.237,2
147.32.84.165,158.64.89.5,2
147.32.84.165,159.110.252.32,4
147.32.84.165,159.134.198.135,8
147.32.84.165,159.242.130.117,2
147.32.84.165,159.53.78.169,2
147.32.84.165,160.78.48.1,2
147.32.84.165,161.200.192.16,2
147.32.84.165,161.49.252.95,4
147.32.84.165,161.58.16.34,10
147.32.84.165,161.85.125.6,4
147.32.84.165,162.119.233.188,4
147.32.84.165,162.136.189.232,2
147.32.84.165,162.39.147.49,4
147.32.84.165,162.44.124.91,4
147.32.84.165,162.93.195.146,4
