src_ip,dst_ip,communication_count
112.90.138.160,147.32.84.165,24
112.90.86.181,147.32.84.165,297
112.90.86.182,147.32.84.165,172
112.90.86.183,147.32.84.165,128
112.90.86.184,147.32.84.165,140
112.95.240.126,147.32.84.165,54
112.95.240.134,147.32.84.165,73
112.95.240.64,147.32.84.165,36
112.95.240.73,147.32.84.165,44
112.95.240.74,147.32.84.165,68
118.122.178.94,147.32.84.165,1
119.147.45.13,147.32.84.165,60
119.147.45.14,147.32.84.165,9
119.147.45.15,147.32.84.165,74
119.147.45.251,147.32.84.165,81
119.147.45.252,147.32.84.165,11
119.147.45.253,147.32.84.165,150
119.147.45.254,147.32.84.165,82
119.147.45.89,147.32.84.165,35
121.11.80.162,147.32.84.165,1
122.225.115.158,147.32.84.165,5
122.225.115.159,147.32.84.165,4
123.125.114.224,147.32.84.165,9
123.125.115.150,147.32.84.165,56
137.254.16.78,147.32.84.165,2
147.32.80.9,147.32.84.165,65
147.32.84.1,147.32.84.165,87
147.32.84.118,147.32.84.165,1
147.32.84.123,147.32.84.165,11
147.32.84.165,112.90.138.160,48
147.32.84.165,112.90.86.181,664
147.32.84.165,112.90.86.182,380
147.32.84.165,112.90.86.183,282
147.32.84.165,112.90.86.184,316
147.32.84.165,112.95.240.126,116
147.32.84.165,112.95.240.134,160
147.32.84.165,112.95.240.64,74
147.32.84.165,112.95.240.73,96
147.32.84.165,112.95.240.74,154
147.32.84.165,118.122.178.94,2
147.32.84.165,119.147.45.13,142
147.32.84.165,119.147.45.14,20
147.32.84.165,119.147.45.15,166
147.32.84.165,119.147.45.251,170
147.32.84.165,119.147.45.252,22
147.32.84.165,119.147.45.253,344
147.32.84.165,119.147.45.254,190
147.32.84.165,119.147.45.89,82
147.32.84.165,121.11.80.162,2
147.32.84.165,122.225.115.158,16
147.32.84.165,122.225.115.159,2
147.32.84.165,123.125.114.224,30
147.32.84.165,123.125.115.150,130
147.32.84.165,137.254.16.78,8
147.32.84.165,147.32.79.1,58
147.32.84.165,147.32.79.119,22
147.32.84.165,147.32.79.120,18
147.32.84.165,147.32.79.121,24
147.32.84.165,147.32.79.122,44
147.32.84.165,147.32.79.123,32
147.32.84.165,147.32.79.124,6
147.32.84.165,147.32.79.178,4
147.32.84.165,147.32.79.179,20
147.32.84.165,147.32.79.180,22
147.32.84.165,147.32.79.181,32
147.32.84.165,147.32.79.182,42
147.32.84.165,147.32.79.183,26
147.32.84.165,147.32.79.2,58
147.32.84.165,147.32.79.237,2
147.32.84.165,147.32.79.239,22
147.32.84.165,147.32.79.240,20
147.32.84.165,147.32.79.241,24
147.32.84.165,147.32.79.242,40
147.32.84.165,147.32.79.243,32
147.32.84.165,147.32.79.244,8
147.32.84.165,147.32.79.3,58
147.32.84.165,147.32.79.4,34
147.32.84.165,147.32.79.58,2
147.32.84.165,147.32.79.59,16
147.32.84.165,147.32.79.60,22
147.32.84.165,147.32.79.61,34
147.32.84.165,147.32.79.62,38
147.32.84.165,147.32.79.63,32
147.32.84.165,147.32.80.102,2
147.32.84.165,147.32.80.105,26
147.32.84.165,147.32.80.106,26
147.32.84.165,147.32.80.107,30
147.32.84.165,147.32.80.108,44
147.32.84.165,147.32.80.109,50
147.32.84.165,147.32.80.110,18
147.32.84.165,147.32.80.111,2
147.32.84.165,147.32.80.123,2
147.32.84.165,147.32.80.161,2
147.32.84.165,147.32.80.164,2
147.32.84.165,147.32.80.165,26
147.32.84.165,147.32.80.166,24
147.32.84.165,147.32.80.167,32
147.32.84.165,147.32.80.168,40
147.32.84.165,147.32.80.169,50
147.32.84.165,147.32.80.170,14
147.32.84.165,147.32.80.223,2
147.32.84.165,147.32.80.224,4
