timestamp,packet_size_sum,packet_count
2011-08-15 14:52:46,440,4
2011-08-15 14:52:47,671,7
2011-08-15 14:52:48,588,6
2011-08-15 14:52:49,2628,18
2011-08-15 14:52:50,220,2
2011-08-15 14:52:51,220,2
2011-08-15 14:52:52,220,2
2011-08-15 14:52:53,440,4
2011-08-15 14:52:54,220,2
2011-08-15 14:52:55,486,2
2011-08-15 14:52:56,220,2
2011-08-15 14:52:57,440,4
2011-08-15 14:52:58,220,2
2011-08-15 14:52:59,926,4
2011-08-15 14:53:04,350,2
2011-08-15 14:53:07,350,2
2011-08-15 14:53:10,350,2
2011-08-15 14:53:38,1059,14
2011-08-15 14:53:39,568,4
2011-08-15 14:53:40,423,3
2011-08-15 14:53:41,184,2
2011-08-15 14:53:42,184,2
2011-08-15 14:53:43,184,2
2011-08-15 14:53:44,29067,51
2011-08-15 14:53:48,46322,65
2011-08-15 14:53:49,97804,116
2011-08-15 14:53:53,184,2
2011-08-15 14:53:54,184,2
2011-08-15 14:53:55,184,2
2011-08-15 14:53:56,5984,65
2011-08-15 14:53:57,8600,91
2011-08-15 14:53:58,2463,28
2011-08-15 14:54:00,1332,13
2011-08-15 14:54:01,774,10
2011-08-15 14:54:07,124,2
2011-08-15 14:54:29,144,2
2011-08-15 14:54:30,8102,17
2011-08-15 14:54:31,33693,49
2011-08-15 14:54:32,142,2
2011-08-15 14:54:33,10473,24
2011-08-15 14:54:34,3516,17
2011-08-15 14:54:35,29405,51
2011-08-15 14:54:36,677,10
2011-08-15 14:54:37,1945,13
2011-08-15 14:54:47,124,2
2011-08-15 14:54:48,5717,24
2011-08-15 14:54:49,23974,35
2011-08-15 14:54:50,88710,111
2011-08-15 14:54:51,15332,20
2011-08-15 14:54:52,1240,20
2011-08-15 14:54:54,240,4
2011-08-15 14:54:55,1420,23
2011-08-15 14:55:01,1240,20
2011-08-15 14:55:12,846,5
2011-08-15 14:55:13,618,8
2011-08-15 14:55:14,288,3
2011-08-15 14:55:19,8119,68
2011-08-15 14:55:21,334,3
2011-08-15 14:55:22,1240,20
2011-08-15 14:55:28,1240,20
2011-08-15 14:55:40,3317,35
2011-08-15 14:55:43,3894,43
2011-08-15 14:55:44,18178,31
2011-08-15 14:55:45,84983,136
2011-08-15 14:55:46,368,6
2011-08-15 14:55:47,1548,15
2011-08-15 14:55:48,120,2
2011-08-15 14:55:49,1176,19
2011-08-15 14:56:04,2377,20
2011-08-15 14:56:05,308,5
2011-08-15 14:56:06,675,6
2011-08-15 14:56:07,124,2
2011-08-15 14:56:09,124,2
2011-08-15 14:56:12,124,2
2011-08-15 14:56:13,954,5
2011-08-15 14:56:15,2201,17
2011-08-15 14:56:16,832,3
2011-08-15 14:56:17,2534,27
2011-08-15 14:56:20,124,2
2011-08-15 14:56:23,124,2
2011-08-15 14:56:29,486,2
2011-08-15 14:56:30,124,2
2011-08-15 14:56:33,124,2
2011-08-15 14:56:40,124,2
2011-08-15 14:56:43,124,2
2011-08-15 14:56:47,124,2
2011-08-15 14:56:48,250,4
2011-08-15 14:56:50,2100,24
2011-08-15 14:56:51,184,3
2011-08-15 14:56:54,124,2
2011-08-15 14:56:56,124,2
2011-08-15 14:56:57,922,7
2011-08-15 14:56:59,1634,3
2011-08-15 14:57:00,1634,3
