timestamp,packet_size_sum,packet_count
2011-08-16 08:09:54,310505,431
2011-08-16 08:09:55,965097,1296
2011-08-16 08:09:56,7299,44
2011-08-16 08:09:59,1240,20
2011-08-16 08:10:15,1240,20
2011-08-16 08:10:18,1240,20
2011-08-16 08:10:24,1420,23
2011-08-16 08:10:31,194,3
2011-08-16 08:10:33,194,3
2011-08-16 08:10:36,620,10
2011-08-16 08:10:38,6775,40
2011-08-16 08:10:41,1240,20
2011-08-16 08:10:45,486,2
2011-08-16 08:10:57,1116,18
2011-08-16 08:10:58,124,2
2011-08-16 08:11:11,428,7
2011-08-16 08:11:12,6267,32
2011-08-16 08:11:34,1434,23
2011-08-16 08:11:40,1240,20
2011-08-16 08:11:52,7235,48
2011-08-16 08:11:55,62,1
2011-08-16 08:12:32,7180,47
2011-08-16 08:12:33,60,1
2011-08-16 08:12:35,1240,20
2011-08-16 08:12:51,1240,20
2011-08-16 08:13:05,6779,40
2011-08-16 08:13:08,1240,20
2011-08-16 08:13:13,194,3
2011-08-16 08:13:16,194,3
2011-08-16 08:13:24,1240,20
2011-08-16 08:13:28,194,3
2011-08-16 08:13:30,194,3
2011-08-16 08:13:38,6806,41
2011-08-16 08:13:41,1240,20
2011-08-16 08:13:57,1240,20
2011-08-16 08:14:11,6827,41
2011-08-16 08:14:14,1240,20
2011-08-16 08:14:30,1240,20
2011-08-16 08:14:44,5445,19
2011-08-16 08:15:24,496,8
2011-08-16 08:15:31,868,14
2011-08-16 08:15:35,124,2
2011-08-16 08:15:39,496,8
2011-08-16 08:15:41,124,2
2011-08-16 08:15:45,428,7
2011-08-16 08:15:46,4865,9
2011-08-16 08:16:17,868,14
2011-08-16 08:16:26,372,6
2011-08-16 08:16:33,1116,18
2011-08-16 08:16:35,372,6
2011-08-16 08:16:36,744,12
2011-08-16 08:16:38,372,6
2011-08-16 08:16:42,1116,18
2011-08-16 08:16:45,372,6
2011-08-16 08:16:49,372,6
2011-08-16 08:16:52,372,6
2011-08-16 08:16:56,248,4
2011-08-16 08:16:57,194,3
2011-08-16 08:16:59,248,4
2011-08-16 08:17:01,194,3
2011-08-16 08:17:03,442,7
2011-08-16 08:17:06,248,4
2011-08-16 08:17:10,248,4
2011-08-16 08:17:13,248,4
2011-08-16 08:17:17,248,4
2011-08-16 08:17:20,248,4
2011-08-16 08:17:24,248,4
2011-08-16 08:17:27,248,4
2011-08-16 08:17:31,248,4
2011-08-16 08:17:34,248,4
2011-08-16 08:17:38,248,4
2011-08-16 08:17:41,248,4
2011-08-16 08:17:45,248,4
2011-08-16 08:17:48,248,4
2011-08-16 08:17:52,248,4
2011-08-16 08:17:55,248,4
2011-08-16 08:17:59,248,4
2011-08-16 08:18:02,248,4
2011-08-16 08:18:06,248,4
2011-08-16 08:18:09,248,4
2011-08-16 08:18:13,248,4
2011-08-16 08:18:16,248,4
2011-08-16 08:18:20,248,4
2011-08-16 08:18:23,248,4
2011-08-16 08:18:27,248,4
2011-08-16 08:18:30,248,4
2011-08-16 08:18:34,248,4
2011-08-16 08:18:37,248,4
2011-08-16 08:18:41,248,4
2011-08-16 08:18:44,248,4
2011-08-16 08:18:48,248,4
2011-08-16 08:18:51,248,4
2011-08-16 08:18:55,248,4
2011-08-16 08:18:58,248,4
2011-08-16 08:19:02,186,3
2011-08-16 08:19:23,248,4
2011-08-16 08:19:24,992,16
2011-08-16 08:19:30,992,16
2011-08-16 08:19:42,426,7
2011-08-16 08:19:43,6780,40
2011-08-16 08:19:46,1240,20
2011-08-16 08:20:02,1240,20
2011-08-16 08:20:16,248,4
2011-08-16 08:20:18,124,2
2011-08-16 08:20:19,124,2
2011-08-16 08:20:21,124,2
2011-08-16 08:20:25,7077,43
2011-08-16 08:20:28,1116,18
2011-08-16 08:20:37,124,2
2011-08-16 08:20:44,1116,18
2011-08-16 08:20:47,1116,18
2011-08-16 08:20:51,124,2
2011-08-16 08:20:53,1116,18
2011-08-16 08:20:54,62,1
2011-08-16 08:21:39,1488,24
2011-08-16 08:21:42,372,6
2011-08-16 08:21:48,372,6
2011-08-16 08:21:52,124,2
2011-08-16 08:21:53,5207,15
2011-08-16 08:22:21,496,8
2011-08-16 08:22:25,124,2
2011-08-16 08:22:26,6248,32
2011-08-16 08:22:29,868,14
2011-08-16 08:22:33,372,6
2011-08-16 08:22:43,486,2
2011-08-16 08:22:45,1240,20
2011-08-16 08:22:59,6802,41
2011-08-16 08:23:02,1240,20
2011-08-16 08:23:18,1240,20
2011-08-16 08:23:21,1240,20
2011-08-16 08:23:27,1240,20
2011-08-16 08:23:39,7230,48
2011-08-16 08:23:42,1240,20
2011-08-16 08:23:58,1240,20
2011-08-16 08:24:01,1240,20
2011-08-16 08:24:07,1240,20
2011-08-16 08:24:19,854,14
2011-08-16 08:24:20,6367,34
2011-08-16 08:24:23,62,1
2011-08-16 08:24:38,1984,32
2011-08-16 08:24:41,1240,20
2011-08-16 08:24:47,1240,20
2011-08-16 08:24:53,372,6
2011-08-16 08:24:55,124,2
2011-08-16 08:24:56,248,4
2011-08-16 08:24:58,124,2
2011-08-16 08:25:02,6809,41
2011-08-16 08:25:05,1240,20
2011-08-16 08:25:21,1240,20
2011-08-16 08:25:35,7076,43
2011-08-16 08:25:38,1240,20
2011-08-16 08:25:54,2232,36
2011-08-16 08:25:57,1488,24
2011-08-16 08:26:03,1488,24
2011-08-16 08:26:08,6061,29
2011-08-16 08:26:11,496,8
2011-08-16 08:26:15,124,2
2011-08-16 08:26:36,1860,30
2011-08-16 08:26:41,992,16
2011-08-16 08:26:43,1131,15
2011-08-16 08:26:44,680,10
2011-08-16 08:26:45,184,2
2011-08-16 08:26:46,864,12
2011-08-16 08:26:47,2604,14
2011-08-16 08:26:50,1208,17
2011-08-16 08:27:24,248,4
2011-08-16 08:27:26,124,2
2011-08-16 08:27:27,124,2
2011-08-16 08:27:29,124,2
2011-08-16 08:27:33,248,4
2011-08-16 08:27:36,124,2
2011-08-16 08:27:40,124,2
2011-08-16 08:27:43,124,2
2011-08-16 08:27:47,244,4
2011-08-16 08:27:50,124,2
2011-08-16 08:27:54,124,2
2011-08-16 08:27:57,124,2
2011-08-16 08:28:01,124,2
2011-08-16 08:28:04,124,2
2011-08-16 08:28:08,124,2
2011-08-16 08:28:11,124,2
2011-08-16 08:28:15,124,2
2011-08-16 08:28:17,124,2
2011-08-16 08:28:22,124,2
2011-08-16 08:28:25,124,2
2011-08-16 08:28:29,6513,36
2011-08-16 08:28:32,992,16
2011-08-16 08:28:33,124,2
2011-08-16 08:28:40,124,2
2011-08-16 08:28:48,1116,18
2011-08-16 08:28:55,124,2
2011-08-16 08:29:01,124,2
2011-08-16 08:29:02,6524,36
2011-08-16 08:29:05,1116,18
2011-08-16 08:29:09,124,2
2011-08-16 08:29:21,1240,20
2011-08-16 08:29:35,6639,38
2011-08-16 08:29:36,124,2
2011-08-16 08:29:38,1116,18
2011-08-16 08:29:39,124,2
2011-08-16 08:29:54,1240,20
2011-08-16 08:30:08,248,4
2011-08-16 08:30:10,124,2
2011-08-16 08:30:11,124,2
2011-08-16 08:30:13,124,2
2011-08-16 08:30:17,6830,41
2011-08-16 08:30:20,1116,18
2011-08-16 08:30:29,124,2
2011-08-16 08:30:36,1116,18
2011-08-16 08:30:43,124,2
2011-08-16 08:30:50,4084,14
2011-08-16 08:30:51,2890,27
2011-08-16 08:30:54,1116,18
2011-08-16 08:30:57,124,2
2011-08-16 08:31:09,1240,20
2011-08-16 08:31:12,1240,20
2011-08-16 08:31:13,473,7
2011-08-16 08:31:14,4944,36
2011-08-16 08:31:15,36918,53
2011-08-16 08:31:16,4918,6
2011-08-16 08:31:17,3072,3
2011-08-16 08:31:18,1240,20
2011-08-16 08:31:19,300,5
2011-08-16 08:31:21,473,7
2011-08-16 08:31:24,190,3
2011-08-16 08:31:29,32144,74
2011-08-16 08:31:30,26467,100
2011-08-16 08:31:31,40866,89
2011-08-16 08:31:32,5590,15
2011-08-16 08:31:33,1116,18
2011-08-16 08:31:35,3931,32
2011-08-16 08:31:36,60,1
2011-08-16 08:31:37,39018,65
2011-08-16 08:31:38,10881,56
2011-08-16 08:31:39,1182,19
2011-08-16 08:31:40,37062,47
2011-08-16 08:31:41,8670,13
2011-08-16 08:31:42,2409,22
2011-08-16 08:31:44,1948,17
2011-08-16 08:31:46,22262,41
2011-08-16 08:31:47,25106,33
2011-08-16 08:31:48,2398,10
2011-08-16 08:31:51,486,8
2011-08-16 08:31:52,2067,16
2011-08-16 08:31:54,1942,17
2011-08-16 08:31:55,10084,27
2011-08-16 08:31:56,30088,37
2011-08-16 08:31:57,66,1
2011-08-16 08:31:58,10855,32
2011-08-16 08:31:59,7248,48
2011-08-16 08:32:00,1822,15
2011-08-16 08:32:01,1274,7
2011-08-16 08:32:02,45051,94
2011-08-16 08:32:03,39876,79
2011-08-16 08:32:04,6388,24
2011-08-16 08:32:07,2405,21
2011-08-16 08:32:08,194,3
2011-08-16 08:32:09,29464,57
2011-08-16 08:32:10,17891,46
2011-08-16 08:32:11,45614,91
2011-08-16 08:32:12,3266,6
2011-08-16 08:32:13,300,5
2011-08-16 08:32:15,3813,30
2011-08-16 08:32:16,44078,82
2011-08-16 08:32:17,3569,26
2011-08-16 08:32:18,2070,22
2011-08-16 08:32:19,46396,77
2011-08-16 08:32:20,2271,19
2011-08-16 08:32:21,2420,25
2011-08-16 08:32:22,45166,86
2011-08-16 08:32:23,31533,73
2011-08-16 08:32:24,19059,42
2011-08-16 08:32:27,4582,43
2011-08-16 08:32:28,60,1
2011-08-16 08:32:29,2318,14
2011-08-16 08:32:30,42082,62
2011-08-16 08:32:31,31933,74
2011-08-16 08:32:32,17401,44
2011-08-16 08:32:33,408,6
2011-08-16 08:32:34,3284,26
2011-08-16 08:32:35,18000,24
2011-08-16 08:32:36,9102,7
2011-08-16 08:32:39,31056,42
2011-08-16 08:32:40,3144,4
2011-08-16 08:32:41,3028,27
2011-08-16 08:32:42,5714,28
2011-08-16 08:32:44,6186,56
2011-08-16 08:32:45,20166,30
2011-08-16 08:32:46,15180,12
2011-08-16 08:32:47,15253,45
2011-08-16 08:32:48,48042,85
2011-08-16 08:32:49,4165,36
2011-08-16 08:32:50,1676,14
2011-08-16 08:32:51,439,5
2011-08-16 08:32:53,4962,14
2011-08-16 08:32:54,40422,53
2011-08-16 08:32:57,366,6
2011-08-16 08:32:58,1619,9
2011-08-16 08:33:00,31349,83
2011-08-16 08:33:01,17804,49
2011-08-16 08:33:02,204,3
2011-08-16 08:33:03,198,3
2011-08-16 08:33:06,44410,73
2011-08-16 08:33:07,957,15
2011-08-16 08:33:10,5138,39
2011-08-16 08:33:12,38107,54
2011-08-16 08:33:13,7442,16
2011-08-16 08:33:14,2495,23
2011-08-16 08:33:15,6268,32
2011-08-16 08:33:16,38968,70
2011-08-16 08:33:17,14885,44
2011-08-16 08:33:18,46852,112
2011-08-16 08:33:19,4918,37
2011-08-16 08:33:20,180,3
2011-08-16 08:33:21,670,8
2011-08-16 08:33:22,44919,62
2011-08-16 08:33:23,5899,51
2011-08-16 08:33:24,37460,55
2011-08-16 08:33:25,9220,23
2011-08-16 08:33:26,1803,12
2011-08-16 08:33:28,14406,47
2011-08-16 08:33:29,29364,43
2011-08-16 08:33:30,8602,17
2011-08-16 08:33:31,407,6
2011-08-16 08:33:33,347,5
2011-08-16 08:33:34,19172,65
2011-08-16 08:33:35,30253,55
2011-08-16 08:33:36,576,9
2011-08-16 08:33:37,1234,16
2011-08-16 08:33:38,762,2
2011-08-16 08:33:39,38766,66
2011-08-16 08:33:40,8413,23
2011-08-16 08:33:43,7480,35
2011-08-16 08:33:46,620,10
2011-08-16 08:33:47,248,4
2011-08-16 08:33:48,612,9
2011-08-16 08:33:50,186,3
2011-08-16 08:33:55,17330,52
2011-08-16 08:33:56,20492,23
2011-08-16 08:33:59,3012,2
2011-08-16 08:34:00,14305,32
2011-08-16 08:34:01,4592,44
2011-08-16 08:34:02,868,14
2011-08-16 08:34:09,372,6
2011-08-16 08:34:16,6380,34
2011-08-16 08:34:19,868,14
2011-08-16 08:34:21,194,3
2011-08-16 08:34:23,372,6
2011-08-16 08:34:33,486,2
2011-08-16 08:34:35,1240,20
2011-08-16 08:34:36,194,3
2011-08-16 08:34:49,6746,40
2011-08-16 08:34:52,1240,20
2011-08-16 08:35:08,1240,20
2011-08-16 08:35:09,194,3
2011-08-16 08:35:11,1054,17
2011-08-16 08:35:15,194,3
2011-08-16 08:35:17,1240,20
2011-08-16 08:35:28,194,3
2011-08-16 08:35:29,4758,25
2011-08-16 08:35:30,2665,26
2011-08-16 08:35:31,134,2
2011-08-16 08:35:39,194,3
2011-08-16 08:35:48,936,10
2011-08-16 08:35:49,5815,30
2011-08-16 08:35:52,1240,20
2011-08-16 08:36:07,2108,34
2011-08-16 08:36:10,868,14
2011-08-16 08:36:16,868,14
2011-08-16 08:36:21,428,7
2011-08-16 08:36:22,6157,28
2011-08-16 08:36:24,744,12
2011-08-16 08:36:29,496,8
2011-08-16 08:36:41,1488,24
2011-08-16 08:36:44,248,4
2011-08-16 08:36:50,248,4
2011-08-16 08:36:54,428,7
2011-08-16 08:36:55,6130,30
2011-08-16 08:36:58,310,5
2011-08-16 08:37:01,464,2
2011-08-16 08:37:02,248,4
2011-08-16 08:37:14,1736,28
2011-08-16 08:37:17,496,8
2011-08-16 08:37:23,496,8
2011-08-16 08:37:27,428,7
2011-08-16 08:37:28,6096,29
2011-08-16 08:37:31,992,16
2011-08-16 08:37:35,248,4
2011-08-16 08:37:47,1240,20
2011-08-16 08:37:50,1240,20
2011-08-16 08:37:56,1240,20
2011-08-16 08:38:08,7234,48
2011-08-16 08:38:11,1240,20
2011-08-16 08:38:27,6385,34
2011-08-16 08:38:30,1240,20
2011-08-16 08:38:46,1240,20
2011-08-16 08:38:49,1240,20
2011-08-16 08:38:55,1240,20
2011-08-16 08:39:07,1362,17
2011-08-16 08:39:08,5888,31
2011-08-16 08:39:11,1240,20
2011-08-16 08:39:26,248,4
2011-08-16 08:39:29,248,4
2011-08-16 08:39:32,124,2
2011-08-16 08:39:35,124,2
2011-08-16 08:39:36,124,2
2011-08-16 08:39:39,124,2
2011-08-16 08:39:43,124,2
2011-08-16 08:39:46,124,2
2011-08-16 08:39:50,6437,35
2011-08-16 08:40:18,1488,24
2011-08-16 08:40:23,5751,24
2011-08-16 08:40:26,248,4
2011-08-16 08:40:30,992,16
2011-08-16 08:40:42,1364,22
2011-08-16 08:40:45,124,2
2011-08-16 08:40:51,124,2
2011-08-16 08:40:56,248,4
2011-08-16 08:40:58,124,2
2011-08-16 08:40:59,124,2
2011-08-16 08:41:01,124,2
2011-08-16 08:41:05,1058,12
2011-08-16 08:41:06,5596,26
2011-08-16 08:41:07,124,2
2011-08-16 08:41:09,992,16
2011-08-16 08:41:10,124,2
2011-08-16 08:41:17,124,2
2011-08-16 08:41:24,1116,18
2011-08-16 08:41:31,124,2
2011-08-16 08:41:39,6953,41
