src_ip,dst_ip,communication_count
1.23.71.127,147.32.84.165,3
109.169.13.214,147.32.84.165,64
109.169.13.223,147.32.84.165,30
109.86.117.4,147.32.84.165,6
112.110.18.151,147.32.84.165,3
112.200.131.200,147.32.84.165,3
112.205.182.117,147.32.84.165,7
113.193.156.31,147.32.84.165,3
113.21.74.83,147.32.84.165,3
113.255.129.49,147.32.84.165,6
113.36.206.49,147.32.84.165,3
114.27.11.170,147.32.84.165,2
115.137.250.215,147.32.84.165,3
115.60.169.243,147.32.84.165,3
115.85.238.119,147.32.84.165,5
116.193.128.2,147.32.84.165,6
117.197.21.10,147.32.84.165,3
117.204.73.246,147.32.84.165,3
117.205.50.80,147.32.84.165,3
117.207.7.56,147.32.84.165,3
117.224.41.27,147.32.84.165,1
119.154.183.214,147.32.84.165,3
122.121.68.110,147.32.84.165,3
122.218.153.19,147.32.84.165,6
122.224.6.164,147.32.84.165,117
124.123.147.161,147.32.84.165,9
128.8.10.90,147.32.84.165,1
137.254.16.78,147.32.84.165,2
147.32.80.9,147.32.84.165,783
147.32.84.102,147.32.84.165,10
147.32.84.165,1.22.16.143,2
147.32.84.165,1.23.71.127,3
147.32.84.165,10.123.229.200,3
147.32.84.165,10.145.129.176,3
147.32.84.165,101.0.32.121,5
147.32.84.165,109.169.13.214,88
147.32.84.165,109.169.13.223,36
147.32.84.165,109.200.239.148,8
147.32.84.165,109.201.233.98,6
147.32.84.165,109.86.117.4,9
147.32.84.165,109.87.192.82,3
147.32.84.165,110.36.112.54,3
147.32.84.165,110.45.215.57,3
147.32.84.165,111.253.202.95,8
147.32.84.165,111.88.1.3,2
147.32.84.165,111.88.31.68,3
147.32.84.165,111.88.33.160,3
147.32.84.165,111.88.4.78,6
147.32.84.165,111.88.72.94,5
147.32.84.165,111.88.77.58,5
147.32.84.165,111.92.129.242,5
147.32.84.165,111.92.142.42,7
147.32.84.165,112.110.18.151,6
147.32.84.165,112.110.99.104,9
147.32.84.165,112.152.241.216,3
147.32.84.165,112.200.131.200,3
147.32.84.165,112.205.111.114,5
147.32.84.165,112.205.182.117,8
147.32.84.165,113.193.156.31,8
147.32.84.165,113.20.239.202,2
147.32.84.165,113.21.74.83,6
147.32.84.165,113.255.129.49,6
147.32.84.165,113.36.206.49,3
147.32.84.165,114.108.154.199,3
147.32.84.165,114.108.154.235,3
147.32.84.165,114.120.50.74,3
147.32.84.165,114.134.80.211,3
147.32.84.165,114.147.58.71,3
147.32.84.165,114.27.11.170,2
147.32.84.165,114.57.53.106,3
147.32.84.165,114.58.187.40,3
147.32.84.165,114.59.51.188,3
147.32.84.165,115.137.250.215,3
147.32.84.165,115.148.196.99,2
147.32.84.165,115.178.17.183,3
147.32.84.165,115.184.216.90,1
147.32.84.165,115.240.73.24,3
147.32.84.165,115.60.169.243,3
147.32.84.165,115.85.238.119,5
147.32.84.165,115.97.135.112,5
147.32.84.165,115.98.215.108,2
147.32.84.165,116.111.184.69,2
147.32.84.165,116.193.128.2,6
147.32.84.165,116.193.138.134,2
147.32.84.165,116.228.139.242,8
147.32.84.165,116.72.72.149,6
147.32.84.165,116.73.89.104,5
147.32.84.165,116.90.164.27,1
147.32.84.165,117.196.25.55,3
147.32.84.165,117.197.182.9,2
147.32.84.165,117.197.21.10,5
147.32.84.165,117.198.86.115,3
147.32.84.165,117.201.114.47,2
147.32.84.165,117.204.64.121,4
147.32.84.165,117.204.65.119,2
147.32.84.165,117.204.65.177,2
147.32.84.165,117.204.66.49,2
147.32.84.165,117.204.73.246,6
147.32.84.165,117.204.73.9,10
147.32.84.165,117.204.74.3,1
147.32.84.165,117.204.76.152,2
147.32.84.165,117.205.50.80,3
147.32.84.165,117.207.49.181,3
147.32.84.165,117.207.5.248,3
147.32.84.165,117.207.7.56,3
147.32.84.165,117.224.216.244,2
147.32.84.165,117.224.242.30,3
147.32.84.165,117.224.41.27,1
147.32.84.165,117.240.58.147,5
147.32.84.165,117.242.61.2,5
147.32.84.165,117.96.96.152,2
147.32.84.165,118.136.111.104,4
147.32.84.165,118.143.56.171,3
147.32.84.165,118.23.109.24,3
147.32.84.165,118.23.178.141,3
147.32.84.165,118.23.180.72,3
147.32.84.165,118.34.142.43,2
147.32.84.165,118.82.64.32,3
147.32.84.165,118.86.12.94,6
147.32.84.165,119.152.220.218,7
147.32.84.165,119.154.117.193,4
147.32.84.165,119.154.129.1,2
147.32.84.165,119.154.130.96,3
147.32.84.165,119.154.131.100,2
147.32.84.165,119.154.183.214,3
147.32.84.165,119.154.70.142,3
147.32.84.165,119.154.75.69,4
147.32.84.165,119.205.212.218,3
147.32.84.165,119.205.212.219,3
147.32.84.165,119.235.1.2,6
147.32.84.165,119.252.147.10,3
147.32.84.165,119.63.45.53,12
147.32.84.165,12.102.252.75,15
147.32.84.165,12.130.194.63,3
147.32.84.165,12.151.21.99,6
147.32.84.165,12.154.96.68,3
147.32.84.165,12.168.25.160,3
147.32.84.165,12.168.76.27,3
147.32.84.165,12.30.177.163,6
147.32.84.165,12.41.25.137,3
147.32.84.165,12.44.217.140,6
147.32.84.165,12.53.250.91,3
147.32.84.165,12.7.232.25,3
147.32.84.165,12.71.42.136,3
147.32.84.165,120.138.121.194,4
147.32.84.165,120.63.27.163,2
147.32.84.165,121.130.190.26,2
147.32.84.165,121.197.253.23,3
147.32.84.165,121.243.139.53,4
147.32.84.165,121.245.3.131,7
147.32.84.165,121.31.253.12,2
147.32.84.165,122.1.235.147,3
147.32.84.165,122.1.235.148,3
147.32.84.165,122.1.236.75,3
147.32.84.165,122.121.68.110,3
147.32.84.165,122.127.64.127,6
147.32.84.165,122.155.7.8,3
147.32.84.165,122.218.153.19,6
147.32.84.165,122.224.6.164,119
147.32.84.165,122.28.30.180,3
147.32.84.165,122.50.126.89,3
147.32.84.165,122.55.28.99,5
147.32.84.165,123.192.69.237,5
147.32.84.165,123.194.145.64,7
147.32.84.165,123.236.248.177,2
147.32.84.165,124.108.110.37,36
147.32.84.165,124.108.116.109,12
147.32.84.165,124.108.96.211,6
147.32.84.165,124.123.106.96,2
147.32.84.165,124.123.111.216,3
147.32.84.165,124.123.147.161,15
147.32.84.165,124.125.21.140,6
147.32.84.165,124.217.225.31,3
147.32.84.165,124.81.2.139,2
147.32.84.165,125.206.180.223,3
147.32.84.165,125.206.187.30,6
147.32.84.165,125.5.96.59,9
147.32.84.165,125.99.28.64,2
147.32.84.165,128.120.32.9,3
