timestamp,packet_size_sum,packet_count
2011-08-16 12:24:26,150,2
2011-08-16 12:24:27,1085,8
2011-08-16 12:24:28,1296,12
2011-08-16 12:24:29,3149,13
2011-08-16 12:24:30,15339,45
2011-08-16 12:24:31,18858,23
2011-08-16 12:24:32,48750,59
2011-08-16 12:24:33,18122,32
2011-08-16 12:24:44,184,2
2011-08-16 12:24:45,184,2
2011-08-16 12:24:46,184,2
2011-08-16 12:24:47,2865,13
2011-08-16 12:24:53,124,2
2011-08-16 12:24:54,30140,43
2011-08-16 12:24:56,6270,18
2011-08-16 12:25:06,490,2
2011-08-16 12:25:07,31940,43
2011-08-16 12:25:19,27203,34
2011-08-16 12:25:31,28378,37
2011-08-16 12:25:43,28794,35
2011-08-16 12:25:44,120,2
2011-08-16 12:25:48,120,2
2011-08-16 12:25:55,490,2
2011-08-16 12:25:56,27248,35
2011-08-16 12:26:08,36170,41
2011-08-16 12:26:20,28129,35
2011-08-16 12:26:32,21758,31
2011-08-16 12:26:44,490,2
2011-08-16 12:26:45,27280,33
2011-08-16 12:26:57,27932,38
2011-08-16 12:27:09,25536,32
2011-08-16 12:27:18,180,3
2011-08-16 12:27:21,26540,34
2011-08-16 12:27:33,490,2
2011-08-16 12:27:34,30567,37
2011-08-16 12:27:46,28510,39
2011-08-16 12:27:58,27966,41
2011-08-16 12:28:10,10483,14
2011-08-16 12:28:11,1276,12
2011-08-16 12:28:12,592,6
2011-08-16 12:28:13,1054,8
2011-08-16 12:28:14,5896,25
2011-08-16 12:28:15,368,4
2011-08-16 12:28:16,184,2
2011-08-16 12:28:19,120,2
2011-08-16 12:28:24,486,2
2011-08-16 12:28:25,11537,24
2011-08-16 12:28:26,2046,20
2011-08-16 12:28:27,5330,18
2011-08-16 12:28:28,184,2
2011-08-16 12:28:29,184,2
2011-08-16 12:28:33,120,2
2011-08-16 12:28:37,490,2
2011-08-16 12:28:38,70194,83
2011-08-16 12:28:39,1754,15
2011-08-16 12:28:40,7936,11
2011-08-16 12:28:41,4688,13
2011-08-16 12:28:42,1117,8
2011-08-16 12:28:43,1237,12
2011-08-16 12:28:44,60,1
2011-08-16 12:28:49,11113,21
2011-08-16 12:28:50,2512,19
2011-08-16 12:28:51,1416,15
2011-08-16 12:28:52,4764,14
2011-08-16 12:28:53,184,2
2011-08-16 12:28:57,120,2
2011-08-16 12:29:02,26822,39
2011-08-16 12:29:13,144,2
2011-08-16 12:29:14,26478,38
2011-08-16 12:29:15,180,3
2011-08-16 12:29:17,124,2
2011-08-16 12:29:23,124,2
2011-08-16 12:29:26,27106,35
2011-08-16 12:29:38,490,2
2011-08-16 12:29:39,25677,32
2011-08-16 12:29:41,120,2
2011-08-16 12:29:42,936,13
2011-08-16 12:29:43,577,3
2011-08-16 12:29:51,26896,38
2011-08-16 12:30:03,26680,34
2011-08-16 12:30:15,26842,37
2011-08-16 12:30:27,490,2
2011-08-16 12:30:28,20896,29
2011-08-16 12:30:40,43920,58
2011-08-16 12:30:43,1513,16
2011-08-16 12:31:21,26572,32
2011-08-16 12:31:33,68263,84
2011-08-16 12:31:43,244,4
2011-08-16 12:31:44,1269,12
2011-08-16 12:31:50,26842,37
2011-08-16 12:32:02,10726,18
2011-08-16 12:32:03,1324,11
2011-08-16 12:32:04,2228,20
2011-08-16 12:32:05,4580,12
2011-08-16 12:32:06,368,4
2011-08-16 12:32:10,120,2
2011-08-16 12:32:15,20048,28
2011-08-16 12:32:22,486,2
2011-08-16 12:32:27,10672,17
2011-08-16 12:32:28,1324,11
2011-08-16 12:32:29,1478,14
2011-08-16 12:32:30,5330,18
2011-08-16 12:32:31,184,2
2011-08-16 12:32:32,184,2
2011-08-16 12:32:35,120,2
2011-08-16 12:32:40,10691,17
2011-08-16 12:32:41,140,2
2011-08-16 12:32:42,140,2
2011-08-16 12:32:44,384,6
2011-08-16 12:32:45,1269,12
2011-08-16 12:32:48,140,2
2011-08-16 12:32:55,184,2
2011-08-16 12:32:56,184,2
2011-08-16 12:32:57,184,2
2011-08-16 12:33:06,203,1
2011-08-16 12:33:08,45253,59
2011-08-16 12:33:16,180,3
2011-08-16 12:33:45,936,13
2011-08-16 12:33:46,577,3
2011-08-16 12:34:08,120,2
2011-08-16 12:34:33,486,2
2011-08-16 12:34:46,936,13
2011-08-16 12:34:47,577,3
2011-08-16 12:35:47,936,13
2011-08-16 12:35:48,577,3
2011-08-16 12:36:48,1393,14
2011-08-16 12:36:49,120,2
2011-08-16 12:37:48,244,4
2011-08-16 12:37:49,1269,12
2011-08-16 12:38:20,152,2
2011-08-16 12:38:21,430,5
2011-08-16 12:38:22,530,5
2011-08-16 12:38:23,424,3
2011-08-16 12:38:26,424,3
2011-08-16 12:38:27,1160,5
2011-08-16 12:38:28,2416,12
2011-08-16 12:38:29,814,3
2011-08-16 12:38:30,1904,7
2011-08-16 12:38:31,142,2
2011-08-16 12:38:32,142,2
2011-08-16 12:38:34,142,2
2011-08-16 12:38:38,142,2
2011-08-16 12:38:39,328,3
2011-08-16 12:38:40,510,5
2011-08-16 12:38:43,956,8
2011-08-16 12:38:44,60,1
2011-08-16 12:38:45,124,2
2011-08-16 12:38:48,124,2
2011-08-16 12:38:49,770,9
2011-08-16 12:38:50,6857,22
2011-08-16 12:38:51,8637,13
2011-08-16 12:38:52,654,7
2011-08-16 12:38:53,5671,8
2011-08-16 12:38:54,6476,10
2011-08-16 12:38:55,6428,10
2011-08-16 12:38:56,1646,3
2011-08-16 12:38:57,4782,7
2011-08-16 12:38:58,3094,3
2011-08-16 12:38:59,7875,9
2011-08-16 12:39:00,4782,7
2011-08-16 12:39:01,11090,15
2011-08-16 12:39:02,9510,13
2011-08-16 12:39:03,14184,18
2011-08-16 12:39:04,8176,14
2011-08-16 12:39:05,8050,13
2011-08-16 12:39:06,7996,12
2011-08-16 12:39:07,12484,14
2011-08-16 12:39:08,11210,17
2011-08-16 12:39:09,14238,19
2011-08-16 12:39:10,8076,12
2011-08-16 12:39:11,3324,6
2011-08-16 12:39:12,4954,9
2011-08-16 12:39:13,6482,11
2011-08-16 12:39:14,8020,12
2011-08-16 12:39:15,3238,5
2011-08-16 12:39:16,4782,7
2011-08-16 12:39:17,3214,5
2011-08-16 12:39:18,7930,11
2011-08-16 12:39:19,3308,6
2011-08-16 12:39:20,3373,6
2011-08-16 12:39:22,1634,3
2011-08-16 12:39:23,6242,7
2011-08-16 12:39:24,1634,3
2011-08-16 12:39:25,3292,6
2011-08-16 12:39:26,4728,6
2011-08-16 12:39:27,3094,3
2011-08-16 12:39:28,3094,3
2011-08-16 12:39:29,4728,6
2011-08-16 12:39:32,4728,6
2011-08-16 12:39:33,3148,4
2011-08-16 12:39:34,3148,4
2011-08-16 12:39:35,4728,6
2011-08-16 12:39:36,3094,3
2011-08-16 12:39:37,7876,10
2011-08-16 12:39:38,9522,13
2011-08-16 12:39:39,3292,6
2011-08-16 12:39:40,3280,6
2011-08-16 12:39:41,4782,7
2011-08-16 12:39:42,4728,6
2011-08-16 12:39:43,9480,12
2011-08-16 12:39:44,1646,3
2011-08-16 12:39:45,4914,9
2011-08-16 12:39:46,6242,7
2011-08-16 12:39:47,3148,4
2011-08-16 12:39:48,7888,10
2011-08-16 12:39:49,3238,5
2011-08-16 12:39:50,5026,11
2011-08-16 12:39:51,3035,17
2011-08-16 12:39:52,3400,8
2011-08-16 12:39:53,3268,6
2011-08-16 12:39:54,1646,3
2011-08-16 12:39:55,4914,9
2011-08-16 12:39:56,6242,7
2011-08-16 12:39:57,1646,3
2011-08-16 12:39:58,4914,9
2011-08-16 12:39:59,3094,3
2011-08-16 12:40:01,1634,3
2011-08-16 12:40:02,3094,3
2011-08-16 12:40:03,6242,7
2011-08-16 12:40:04,4782,7
2011-08-16 12:40:05,11198,17
2011-08-16 12:40:06,12604,16
2011-08-16 12:40:07,8182,15
2011-08-16 12:40:08,11510,21
2011-08-16 12:40:09,3292,6
2011-08-16 12:40:10,4728,6
2011-08-16 12:40:11,3148,4
2011-08-16 12:40:12,6242,7
2011-08-16 12:40:13,3238,5
2011-08-16 12:40:14,7876,10
2011-08-16 12:40:15,3094,3
2011-08-16 12:40:16,9402,11
2011-08-16 12:40:17,4728,6
2011-08-16 12:40:18,11090,15
2011-08-16 12:40:19,8074,13
2011-08-16 12:40:20,6616,12
2011-08-16 12:40:22,4728,6
2011-08-16 12:40:23,3148,4
2011-08-16 12:40:24,6254,7
2011-08-16 12:40:25,1646,3
2011-08-16 12:40:26,4914,9
2011-08-16 12:40:27,6242,7
2011-08-16 12:40:28,1634,3
2011-08-16 12:40:29,3292,6
2011-08-16 12:40:30,4782,7
2011-08-16 12:40:31,1634,3
2011-08-16 12:40:32,3148,4
2011-08-16 12:40:33,6188,6
2011-08-16 12:40:34,4782,7
2011-08-16 12:40:35,3094,3
2011-08-16 12:40:36,4782,7
2011-08-16 12:40:37,3148,4
2011-08-16 12:40:38,6296,8
2011-08-16 12:40:39,3238,5
2011-08-16 12:40:40,1634,3
2011-08-16 12:40:41,60,1
2011-08-16 12:40:43,4728,6
2011-08-16 12:40:44,3094,3
2011-08-16 12:40:45,6296,8
2011-08-16 12:40:46,3292,6
2011-08-16 12:40:47,4914,9
2011-08-16 12:40:48,6188,6
2011-08-16 12:40:49,3148,4
2011-08-16 12:40:50,9456,12
2011-08-16 12:40:51,7352,23
2011-08-16 12:40:52,11601,17
2011-08-16 12:40:53,8062,13
2011-08-16 12:40:54,11510,21
2011-08-16 12:40:55,4782,7
2011-08-16 12:40:56,11078,15
2011-08-16 12:40:57,9456,12
2011-08-16 12:40:58,11144,16
2011-08-16 12:40:59,11090,15
2011-08-16 12:41:00,18912,24
2011-08-16 12:41:01,17326,22
2011-08-16 12:41:02,19410,31
2011-08-16 12:41:03,6584,12
2011-08-16 12:41:04,6560,12
2011-08-16 12:41:05,19194,29
2011-08-16 12:41:06,8853,22
2011-08-16 12:41:07,5122,11
2011-08-16 12:41:08,6744,14
2011-08-16 12:41:09,13868,23
2011-08-16 12:41:10,12354,31
2011-08-16 12:41:11,8050,13
2011-08-16 12:41:12,17332,22
2011-08-16 12:41:13,6386,9
2011-08-16 12:41:14,11246,17
2011-08-16 12:41:15,7996,12
2011-08-16 12:41:16,15752,20
2011-08-16 12:41:17,9510,13
2011-08-16 12:41:18,14208,18
2011-08-16 12:41:19,6530,11
2011-08-16 12:41:20,4552,7
2011-08-16 12:41:21,1634,3
2011-08-16 12:41:22,3148,4
2011-08-16 12:41:23,3094,3
2011-08-16 12:41:24,4728,6
2011-08-16 12:41:25,6188,6
2011-08-16 12:41:26,4728,6
2011-08-16 12:41:27,9456,12
2011-08-16 12:41:28,8050,13
2011-08-16 12:41:29,14118,17
2011-08-16 12:41:30,9402,11
2011-08-16 12:41:31,20426,25
2011-08-16 12:41:32,23988,36
2011-08-16 12:41:33,12724,18
2011-08-16 12:41:34,21176,36
2011-08-16 12:41:35,9510,13
2011-08-16 12:41:36,16046,25
2011-08-16 12:41:37,11144,16
2011-08-16 12:41:38,14760,26
2011-08-16 12:41:39,4926,9
2011-08-16 12:41:40,14238,19
2011-08-16 12:41:41,4728,6
2011-08-16 12:41:42,9564,14
2011-08-16 12:41:43,6398,9
2011-08-16 12:41:44,1634,3
2011-08-16 12:41:45,6242,7
2011-08-16 12:41:46,3292,6
2011-08-16 12:41:47,7822,9
2011-08-16 12:41:48,3148,4
2011-08-16 12:41:49,9456,12
2011-08-16 12:41:50,6308,8
2011-08-16 12:41:51,9678,15
2011-08-16 12:41:52,4324,21
2011-08-16 12:41:53,7071,14
2011-08-16 12:41:54,3292,6
2011-08-16 12:41:55,4728,6
2011-08-16 12:41:57,4782,7
